,Time,U2,RF2
0,0.0,0.0,0.0
1,0.00430732,1.12044e-05,0.386521
2,0.0248491,6.46387e-05,2.22985
3,0.128842,0.00033515,11.5617
4,0.655304,0.00170461,58.8038
5,3.32052,0.00863751,297.961
6,16.8132,0.264184,9105.57
7,41.6271,0.915525,30882.5
8,54.2682,1.24734,39331.7
9,63.749,1.4962,40827.7
10,73.2298,1.74506,41736.0
11,82.7106,1.99393,42468.8
12,92.1914,2.24279,43105.7
13,101.672,2.49165,43680.4
14,115.893,2.86494,44459.7
15,130.115,3.23823,45166.5
16,144.336,3.61153,45815.8
17,158.557,3.98482,46417.6
18,172.778,4.35811,46979.2
19,186.999,4.7314,47506.2
20,201.221,5.1047,48002.4
21,215.442,5.47799,48472.2
22,229.663,5.85128,48918.1
23,250.995,6.41122,49546.7
24,272.326,6.97116,50133.2
25,293.658,7.5311,50681.9
26,314.99,8.09104,51197.5
27,336.322,8.65098,51682.3
28,357.654,9.21091,52139.9
29,378.985,9.77085,52572.3
30,400.317,10.3308,52981.3
31,421.649,10.8907,53368.1
32,442.981,11.4507,53733.9
33,464.313,12.0106,54068.2
34,485.644,12.5705,54379.0
35,506.976,13.1305,54673.0
36,528.308,13.6904,54951.2
37,549.64,14.2504,55215.6
38,570.972,14.8103,55466.3
39,592.303,15.3702,55704.4
40,613.635,15.9302,55930.2
41,634.967,16.4901,56143.8
42,656.299,17.0501,56345.0
43,677.631,17.61,56534.0
44,698.962,18.1699,56710.2
45,720.294,18.7299,56873.1
46,736.293,19.1498,56985.8
47,749.1,19.486,57069.7
