,Time,U2,RF2
0,0.0,0.0,0.0
1,0.0024411,9.7635e-06,0.342022
2,0.0140828,5.63258e-05,1.97313
3,0.0730188,0.000292048,10.2306
4,0.371382,0.00148539,52.0339
5,1.88185,0.00752668,263.658
6,9.52858,0.230208,8058.44
7,26.5102,0.915583,30875.2
8,35.5317,1.27969,34786.6
9,44.2878,1.63308,35941.9
10,57.422,2.16318,37263.2
11,71.7502,2.74146,38411.8
12,88.7318,3.42684,39532.0
13,105.713,4.11221,40478.9
14,122.695,4.79759,41297.7
15,139.677,5.48296,42017.1
16,156.658,6.16834,42657.6
17,173.64,6.85371,43231.3
18,190.621,7.53909,43747.8
19,207.603,8.22446,44212.7
20,224.585,8.90983,44632.8
21,241.566,9.59521,45013.0
22,258.548,10.2806,45356.2
23,275.529,10.966,45665.7
24,292.511,11.6513,45943.8
25,309.493,12.3367,46192.4
26,326.474,13.0221,46413.0
27,343.456,13.7075,46606.7
28,360.437,14.3928,46774.4
29,377.419,15.0782,46917.0
30,394.401,15.7636,47034.9
31,411.382,16.449,47128.2
32,424.54,16.98,47183.4
