,Time,U2,RF2
0,0.0,0.0,0.0
1,0.00277196,1.58177e-05,0.10691
2,0.0159915,9.12525e-05,0.616766
3,0.0829154,0.000473141,3.19791
4,0.421718,0.00240645,16.265
5,2.1369,0.0121938,82.4176
6,10.82,0.372956,2521.52
7,25.2824,1.20573,8009.75
8,34.924,1.76091,11101.3
9,44.5656,2.31609,13459.2
10,50.5916,2.66308,14300.4
11,57.8228,3.07947,15003.4
12,65.054,3.49585,15569.4
13,72.2852,3.91224,16066.1
14,82.2281,4.48477,16677.1
15,93.0749,5.10935,17274.0
16,103.922,5.73393,17818.6
17,114.769,6.35851,18322.7
18,125.615,6.98309,18789.9
19,136.462,7.60767,19228.4
20,147.309,8.23225,19642.3
21,158.156,8.85683,20032.7
22,169.003,9.48141,20407.1
23,185.273,10.4183,20934.2
24,201.543,11.3551,21425.6
25,217.813,12.292,21890.4
26,234.083,13.2289,22319.9
27,250.354,14.1658,22708.3
28,266.624,15.1026,23073.1
29,282.894,16.0395,23418.5
30,299.164,16.9764,23747.9
31,315.434,17.9132,24063.9
32,332.458,18.8935,24374.2
33,351.741,20.0038,24702.5
34,371.024,21.1142,25012.2
35,390.307,22.2246,25307.7
36,409.591,23.3349,25592.1
37,428.874,24.4453,25863.4
38,448.157,25.5556,26114.3
39,467.44,26.666,26354.6
40,482.08,27.509,26530.7
