,Time,U2,RF2
0,0.0,0.0,0.0
1,0.00273177,1.5548e-05,0.104079
2,0.0157596,8.96967e-05,0.600436
3,0.0817132,0.000465075,3.11324
4,0.415603,0.00236543,15.8343
5,2.10592,0.011986,80.2355
6,10.6631,0.366598,2454.74
7,28.479,1.38982,9008.43
8,39.1685,2.00375,12064.3
9,49.8581,2.61768,14181.1
10,60.5476,3.23161,15271.8
11,71.2371,3.84554,16054.1
12,81.9267,4.45947,16718.1
13,92.6162,5.0734,17306.1
14,108.65,5.9943,18086.3
15,124.685,6.91519,18774.1
16,140.719,7.83609,19390.7
17,156.753,8.75699,19929.8
18,173.53,9.72052,20421.5
19,192.534,10.8119,20925.1
20,211.537,11.9034,21376.7
21,230.541,12.9948,21772.2
22,249.544,14.0862,22134.6
23,268.548,15.1777,22472.0
24,287.552,16.2691,22788.8
25,306.555,17.3605,23078.7
26,325.559,18.452,23346.0
27,344.562,19.5434,23586.6
28,363.566,20.6348,23813.9
29,382.57,21.7263,24032.9
30,401.573,22.8177,24246.0
31,420.577,23.9091,24452.9
32,439.58,25.0006,24652.9
33,458.584,26.092,24848.6
34,475.09,27.04,25013.4
