,Time,S11,S22,S33,S12,S13,S23,LE11,LE22,LE33,LE12,LE13,LE23,SDV_EPBAR,E11,E12,E13,E22,E23,E33
0,0.050001,515.358,-0.000150255,-0.000446325,-4.34833e-05,-2.09302e-12,-7.05836e-17,0.0487909,-0.0188208,-0.0272292,-7.8572e-08,-4.4947e-16,-2.26194e-22,0.093244,0.05000077262238056,-7.85719969087495e-08,-4.440892098500626e-16,-0.018644794660409136,0.0,-0.02686182730755593
1,0.1,612.945,-0.000184469,-0.000186132,-3.75802e-05,1.81238e-13,-1.13018e-16,0.0953133,-0.0372901,-0.0547632,-1.3803e-07,-4.60696e-16,-4.74825e-22,0.193794,0.10000343222059715,-1.3802999043743824e-07,-4.440892098500626e-16,-0.036603386551199324,0.0,-0.05329069782466833
2,0.15,680.567,-0.000137415,-0.000138059,-3.09482e-05,1.70623e-12,3.08342e-17,0.139763,-0.054971,-0.081172,-1.79885e-07,-4.64523e-16,3.97905e-21,0.29062,0.1500012162692106,-1.7988498379750695e-07,-4.440892098500626e-16,-0.05348740357922466,0.0,-0.07796491223001334
3,0.2,733.007,-0.000109689,-0.000110294,-2.5478e-05,-3.78939e-13,3.48641e-17,0.182323,-0.0719173,-0.106507,-2.10207e-07,-7.26939e-16,2.79267e-21,0.383696,0.20000173184850412,-2.1020697793527887e-07,-7.771561172376096e-16,-0.06939214610153766,0.0,-0.10103124464208091
4,0.25,776.042,-9.12451e-05,-9.1764e-05,-2.13465e-05,-7.39339e-13,-2.42325e-17,0.223147,-0.0881818,-0.130837,-2.3301e-07,-9.23374e-16,-5.97333e-22,0.473188,0.25000431086467123,-2.3300997287201142e-07,-8.881784197001252e-16,-0.08440559347146348,0.0,-0.12263922745769795
5,0.3,812.602,-7.79562e-05,-7.84043e-05,-1.83472e-05,-1.41895e-12,1.50165e-17,0.262367,-0.103814,-0.154231,-2.50876e-07,-1.20077e-15,-3.71977e-21,0.559308,0.3000035561971257,-2.508759685548867e-07,-1.2212453270876722e-15,-0.09860705908311307,0.0,-0.14292598595471118
6,0.35,844.403,-6.78707e-05,-6.82587e-05,-1.62184e-05,-3.95278e-12,1.99532e-17,0.300108,-0.118861,-0.176755,-2.65462e-07,-1.52387e-15,-1.02455e-20,0.642277,0.35000460019988133,-2.654619647435297e-07,-1.5543122344752192e-15,-0.1120687853766793,0.0,-0.1620149342838787
7,0.4,872.54,-5.99295e-05,-6.02664e-05,-1.47316e-05,-7.08865e-13,-1.13756e-16,0.336475,-0.133365,-0.19847,-2.77831e-07,-1.3863e-15,-2.00918e-20,0.722301,0.4000038687356473,-2.7783096145928e-07,-1.3322676295501878e-15,-0.12485439434002465,0.0,-0.18001563009748733
8,0.45,897.765,-5.35029e-05,-5.37963e-05,-1.37078e-05,-1.5761e-12,-3.57939e-17,0.371565,-0.147361,-0.219429,-2.88675e-07,-1.40101e-15,-3.81306e-20,0.799573,0.4500020931744104,-2.8867495838191815e-07,-1.4432899320127035e-15,-0.13701761546362912,0.0,-0.197022832951965
9,0.5,920.613,-4.81907e-05,-4.8447e-05,-1.3014e-05,-1.31419e-12,1.24676e-16,0.405466,-0.160885,-0.239684,-2.98443e-07,-1.41987e-15,-4.82211e-20,0.87427,0.5000013378383501,-2.984429554597767e-07,-1.4432899320127035e-15,-0.14861002467528694,0.0,-0.2131235252504564
