,Time,S11,S22,S33,S12,S13,S23,LE11,LE22,LE33,LE12,LE13,LE23,SDV_EPBAR,E11,E12,E13,E22,E23,E33
0,0.00030109,0.00701765,0.000503844,-1.30104e-18,0.00188037,-2.14545e-20,-1.04843e-19,9.12916e-08,-2.12916e-08,-3e-08,6.5e-08,-1.59799e-24,-4.2818e-25,0.0,9.129160427612248e-08,6.500000204745504e-08,0.0,-2.1291599816564144e-08,0.0,-2.9999999595631266e-08
1,0.00060218,0.0140353,0.00100769,8.67362e-19,0.00376074,-4.62279e-20,-1.23867e-20,1.82583e-07,-4.25816e-08,-6.00018e-08,1.29999e-07,1.71264e-24,-6.39167e-24,0.0,1.8258301670570631e-07,1.299990084469016e-07,0.0,-4.258159913561599e-08,0.0,-6.000179819665163e-08
2,0.0010538,0.0245618,0.00176345,-8.67362e-19,0.0065813,-1.23867e-20,4.6228e-20,3.19521e-07,-7.45208e-08,-1.05e-07,2.275e-07,1.30389e-34,3.49382e-35,0.0,3.1952105095101047e-07,2.2750002592886176e-07,0.0,-7.452079719971749e-08,0.0,-1.0499999447688424e-07
3,0.0017313,0.0403515,0.0028971,-9.54098e-18,0.0108121,1.97298e-19,3.31901e-21,5.24927e-07,-1.22424e-07,-1.72503e-07,3.73748e-07,2.96667e-24,1.44962e-23,0.0,5.249271377572029e-07,3.7374806982626296e-07,0.0,-1.2242399249906555e-07,0.0,-1.725029851185056e-07
4,0.0027474,0.064036,0.00459758,9.54098e-18,0.0171584,-4.81304e-19,3.16958e-19,8.33036e-07,-1.94286e-07,-2.7375e-07,5.93125e-07,-1.27839e-23,-3.42544e-24,0.0,8.330363470143709e-07,5.93125175862852e-07,0.0,-1.9428598108106598e-07,0.0,-2.737499624760886e-07
5,0.0042717,0.0995628,0.00714829,1.12757e-17,0.0266778,-1.23866e-20,4.6228e-20,1.2952e-06,-3.02072e-07,-4.25628e-07,9.22185e-07,-3.92693e-23,4.42836e-23,0.0,1.2952008388023017e-06,9.221854251340034e-07,0.0,-3.0207195433895606e-07,0.0,-4.2562790947275886e-07
6,0.0065581,0.152853,0.0109743,1.47451e-17,0.0409568,4.56531e-19,-2.24502e-19,1.98844e-06,-4.63758e-07,-6.53437e-07,1.41578e-06,-3.61984e-29,-9.69934e-30,0.0,1.9884419768523287e-06,1.4157810022119577e-06,0.0,-4.6375789242159016e-07,0.0,-6.53436786457462e-07
7,0.0099877,0.232788,0.0167134,-1.30104e-17,0.0623754,8.6707e-20,-3.23596e-19,3.02831e-06,-7.06276e-07,-9.95162e-07,2.15616e-06,-2.74033e-23,1.0227e-22,0.0,3.0283145853182702e-06,2.156162324462585e-06,0.0,-7.062757505504891e-07,0.0,-9.95161504868669e-07
8,0.015132,0.352691,0.025322,4.25007e-17,0.0945032,-1.11481e-19,4.16051e-19,4.58811e-06,-1.07006e-06,-1.50774e-06,3.26674e-06,-2.74033e-23,1.02271e-22,0.0,4.588120525284012e-06,3.2667453357948517e-06,0.0,-1.0700594275103725e-06,0.0,-1.5077388633155664e-06
9,0.022849,0.532544,0.0382349,5.63785e-17,0.142695,8.6707e-20,-3.23596e-19,6.9278e-06,-1.61575e-06,-2.27659e-06,4.93262e-06,1.72357e-35,4.61612e-36,0.0,6.9278239973602496e-06,4.93263216538864e-06,0.0,-1.6157486947276922e-06,0.0,-2.276587408589492e-06
10,0.034424,0.802323,0.0576042,1.47451e-17,0.214982,5.7137e-18,-3.57236e-18,1.04373e-05,-2.43425e-06,-3.4299e-06,7.4314e-06,2.59348e-22,-1.49736e-22,0.0,1.0437354468706417e-05,7.431427612836217e-06,0.0,-2.4342470371641056e-06,0.0,-3.4298941179455866e-06
11,0.051786,1.20699,0.086658,1.47451e-17,0.323412,5.60744e-18,2.74118e-18,1.57016e-05,-3.66201e-06,-5.15983e-06,1.11796e-05,4.09083e-22,1.09614e-22,0.0,1.5701723270700185e-05,1.1179662491977993e-05,0.0,-3.6620032948242454e-06,0.0,-5.159816688138363e-06
