,Time,S11,S22,S33,S12,S13,S23,LE11,LE22,LE33,LE12,LE13,LE23,SDV_EPBAR,E11,E12,E13,E22,E23,E33
0,5.1165e-07,0.10745,0.10745,1.38778e-17,0.0,0.0,-2.91414e-41,1e-06,1e-06,-8.57142e-07,0.0,0.0,0.0,0.0,1.0000004999621837e-06,0.0,0.0,1.0000004999621837e-06,0.0,-8.571416326708103e-07
1,1.0233e-06,0.214899,0.214899,0.0,0.0,0.0,-5.82828e-41,2e-06,2e-06,-1.71428e-06,0.0,0.0,0.0,0.0,2.000002000013268e-06,0.0,0.0,2.000002000013268e-06,0.0,-1.7142785305734876e-06
2,1.7908e-06,0.376074,0.376074,5.55112e-17,0.0,0.0,-1.09279e-40,3.49999e-06,3.49999e-06,-2.99999e-06,0.0,0.0,0.0,0.0,3.4999961249226885e-06,0.0,0.0,3.4999961249226885e-06,0.0,-2.999985500018454e-06
3,2.942e-06,0.617835,0.617835,1.11022e-16,0.0,0.0,-2.45877e-40,5.74998e-06,5.74998e-06,-4.92856e-06,0.0,0.0,0.0,0.0,5.749996531134727e-06,0.0,0.0,5.749996531134727e-06,0.0,-4.928547854721188e-06
4,4.6688e-06,0.980475,0.980475,-1.11022e-16,0.0,0.0,-5.53224e-40,9.12496e-06,9.12496e-06,-7.82139e-06,0.0,0.0,0.0,0.0,9.125001632526164e-06,0.0,0.0,9.125001632526164e-06,0.0,-7.821359413018314e-06
5,7.259e-06,1.52443,1.52443,1.66533e-16,0.0,0.0,-1.24475e-39,1.41874e-05,1.41874e-05,-1.21606e-05,0.0,0.0,0.0,0.0,1.4187500641638096e-05,0.0,0.0,1.4187500641638096e-05,0.0,-1.2160526060234211e-05
6,1.1144e-05,2.34037,2.34037,-3.88578e-16,0.0,0.0,-2.80067e-39,2.1781e-05,2.1781e-05,-1.86694e-05,0.0,0.0,0.0,0.0,2.1781237207640913e-05,0.0,0.0,2.1781237207640913e-05,0.0,-1.86692257277965e-05
7,1.6972e-05,3.56425,3.56425,-1.94289e-15,0.0,0.0,-6.30147e-39,3.31713e-05,3.31713e-05,-2.84326e-05,0.0,0.0,0.0,0.0,3.3171850173596695e-05,0.0,0.0,3.3171850173596695e-05,0.0,-2.8432195797511994e-05
8,2.5714e-05,5.40006,5.40006,-9.49241e-15,0.0,0.0,-1.41781e-38,5.02565e-05,5.02565e-05,-4.3077e-05,0.0,0.0,0.0,0.0,5.025776287914674e-05,0.0,0.0,5.025776287914674e-05,0.0,-4.307607219933285e-05
9,3.8827e-05,8.15371,8.15371,-4.99045e-14,0.0,0.0,-3.19002e-38,7.58838e-05,7.58838e-05,-6.50433e-05,0.0,0.0,0.0,0.0,7.588667924829373e-05,0.0,0.0,7.588667924829373e-05,0.0,-6.504118473038556e-05
10,5.8497e-05,12.284,12.284,-2.46636e-13,0.0,0.0,-7.17736e-38,0.000114324,0.000114324,-9.79916e-05,0.0,0.0,0.0,0.0,0.0001143305352375723,0.0,0.0,0.0001143305352375723,0.0,-9.798679897998763e-05
11,8.8001e-05,18.4793,18.4793,-1.25916e-12,0.0,0.0,-1.61484e-37,0.00017198,0.00017198,-0.000147412,0.0,0.0,0.0,0.0,0.0001719947894081031,0.0,0.0,0.0001719947894081031,0.0,-0.00014740113538502797
12,0.00013226,27.7714,27.7714,-6.3653e-12,0.0,0.0,-3.63318e-37,0.000258459,0.000258459,-0.000221537,0.0,0.0,0.0,0.0,0.00025849240340503066,0.0,0.0,0.00025849240340503066,0.0,-0.0002215124624908027
13,0.00019864,41.7081,41.7081,-3.22095e-11,0.0,0.0,-8.17393e-37,0.000388164,0.000388164,-0.000332712,0.0,0.0,0.0,0.0,0.0003882393453940036,0.0,0.0,0.0003882393453940036,0.0,-0.0003326566575003742
14,0.00029822,62.6098,62.6098,-1.62985e-10,0.0,0.0,-1.83889e-36,0.000582689,0.000582689,-0.000499447,0.0,0.0,0.0,0.0,0.0005828587962131149,0.0,0.0,0.0005828587962131149,0.0,-0.0004993222971088063
15,0.00044759,93.9547,93.9547,-8.24529e-10,0.0,0.0,-4.13666e-36,0.000874405,0.000874405,-0.00074949,0.0,0.0,0.0,0.0,0.0008747874035024417,0.0,0.0,0.0008747874035024417,0.0,-0.0007492092025259689
16,0.00067163,140.955,140.955,-4.16993e-09,0.0,0.0,-9.30469e-36,0.00131182,0.00131182,-0.00112442,0.0,0.0,0.0,0.0,0.001312680812225242,0.0,0.0,0.001312680812225242,0.0,-0.0011237880767031028
17,0.0010077,211.417,211.417,-2.10786e-08,0.0,0.0,-2.09261e-35,0.00196759,0.00196759,-0.0016865,0.0,0.0,0.0,0.0,0.0019695269753867706,0.0,0.0,0.0019695269753867706,0.0,-0.0016850786580183685
18,0.0015118,317.023,317.023,-1.06469e-07,0.0,0.0,-4.70517e-35,0.00295043,0.00295043,-0.00252894,0.0,0.0,0.0,0.0,0.0029547868023522827,0.0,0.0,0.0029547868023522827,0.0,-0.0025257449251898656
19,0.002268,350.064,350.064,-0.040224,0.0,0.0,1.95124e-32,0.00442288,0.00442288,-0.00512262,0.0,0.0,0.0,0.00232957,0.0044326753696710686,0.0,0.0,0.0044326753696710686,0.0,-0.005109521757485136
20,0.0034022,362.527,362.527,-0.0033094,0.0,3.11603e-15,-1.35016e-33,0.0066275,0.0066275,-0.00939912,0.0,0.0,0.0,0.00650714,0.00664951047606821,0.0,0.0,0.00664951047606821,0.0,-0.009355086338824758
21,0.0051036,379.464,379.464,-5.21055e-05,-2.07779e-33,-3.84541e-15,5.09935e-15,0.00992535,0.00992535,-0.0158147,0.0,0.0,0.0,0.0127876,0.009974769653439353,0.0,0.0,0.009974769653439353,0.0,-0.01569030425572293
22,0.0076556,401.899,401.899,-0.000337683,-4.86818e-33,-5.30627e-15,5.68907e-15,0.0148518,0.0148518,-0.025429,0.0,0.0,0.0,0.0222229,0.014962636006578212,0.0,0.0,0.014962636006578212,0.0,-0.025108406188254384
23,0.011484,430.73,430.73,-0.00205068,-2.40899e-34,-1.27156e-15,-1.85108e-15,0.0221963,0.0221963,-0.0398116,0.0,0.0,0.0,0.0363752,0.022444470622031032,0.0,0.0,0.022444470622031032,0.0,-0.03902953106487039
24,0.0166,463.074,463.074,-0.00806196,2.32443e-33,-1.60642e-16,-5.86093e-15,0.0319293,0.0319293,-0.0589339,0.0,0.0,0.0,0.0552389,0.03244450889794681,0.0,0.0,0.03244450889794681,0.0,-0.05723091586597162
25,0.021717,490.575,490.575,-0.0108433,-1.78019e-33,8.75133e-17,4.36863e-15,0.0415684,0.0415684,-0.0779202,0.0,0.0,0.0,0.0740051,0.04244446261420243,0.0,0.0,0.04244446261420243,0.0,-0.07496175835003893
26,0.026833,514.627,514.627,-0.0110891,-1.1735e-32,-5.73243e-15,6.8506e-15,0.0511155,0.0511155,-0.096759,0.0,0.0,0.0,0.0926515,0.05244444359677369,0.0,0.0,0.05244444359677369,0.0,-0.09222524651125164
27,0.03195,536.076,536.076,-0.0110797,-2.22666e-32,-7.22554e-15,7.54944e-15,0.0605724,0.0605724,-0.115445,0.0,0.0,0.0,0.111166,0.062444515768794284,0.0,0.0,0.062444515768794284,0.0,-0.10903042578390676
28,0.037066,555.482,555.482,-0.0109383,3.91348e-33,1.78138e-15,-4.80322e-15,0.0699406,0.0699406,-0.133975,0.0,0.0,0.0,0.129541,0.07244447616031002,0.0,0.0,0.07244447616031002,0.0,-0.12538807037173916
29,0.042183,573.234,573.234,-0.0107235,1.73551e-33,8.88952e-16,-1.55418e-15,0.0792219,0.0792219,-0.15235,0.0,0.0,0.0,0.147773,0.08244448985501229,0.0,0.0,0.08244448985501229,0.0,-0.14131231255024135
30,0.047299,589.617,589.617,-0.0104679,-1.18802e-32,6.65346e-16,9.28953e-15,0.0884178,0.0884178,-0.170568,0.0,0.0,0.0,0.16586,0.09244444998585322,0.0,0.0,0.09244444998585322,0.0,-0.1568142489519475
31,0.052416,604.843,604.843,-0.0101902,9.26735e-33,1.08596e-14,-8.21746e-15,0.09753,0.09753,-0.18863,0.0,0.0,0.0,0.183801,0.10244451440266311,0.0,0.0,0.10244451440266311,0.0,-0.17190715562881398
32,0.057532,619.078,619.078,-0.00990178,2.1123e-33,3.25266e-15,8.51779e-16,0.10656,0.10656,-0.206539,0.0,0.0,0.0,0.201595,0.11244467112359158,0.0,0.0,0.11244467112359158,0.0,-0.1866054615486331
33,0.062649,632.451,632.451,-0.00960963,6.48783e-33,8.23451e-15,-3.71125e-15,0.115509,0.115509,-0.224295,0.0,0.0,0.0,0.219244,0.12244461650436889,0.0,0.0,0.12244461650436889,0.0,-0.20092062881849382
34,0.067765,645.07,645.07,-0.00931831,1.96687e-33,2.40492e-15,-5.04369e-15,0.124379,0.124379,-0.241901,0.0,0.0,0.0,0.236749,0.1324449863265018,0.0,0.0,0.1324449863265018,0.0,-0.21486609803929813
35,0.072882,657.02,657.02,-0.00903071,1.97516e-34,4.38993e-15,-5.4412e-15,0.13317,0.13317,-0.259357,0.0,0.0,0.0,0.254109,0.14244419733705826,0.0,0.0,0.14244419733705826,0.0,-0.22845246859733925
36,0.077998,668.372,668.372,-0.00874873,1.63234e-33,1.20533e-15,1.99385e-15,0.141885,0.141885,-0.276667,0.0,0.0,0.0,0.271328,0.15244410984354428,0.0,0.0,0.15244410984354428,0.0,-0.24169302870733556
