,Time,S11,S22,S33,S12,S13,S23,LE11,LE22,LE33,LE12,LE13,LE23,SDV_EPBAR,E11,E12,E13,E22,E23,E33
0,0.050002,604.15,561.708,-0.000737601,2.0787e-14,-1.54686e-13,-1.22959e-16,0.0487919,0.0487919,-0.0913834,-5.59806e-23,-3.41357e-18,1.77433e-21,0.185397,0.05000182262367825,0.0,0.0,0.05000182262367825,0.0,-0.08733227299489332
1,0.1,728.549,677.135,-0.000448411,2.46023e-14,-5.84669e-13,-1.18586e-16,0.0953116,0.0953116,-0.183147,5.51702e-23,3.3843e-17,-1.08026e-21,0.379541,0.10000156221635192,0.0,0.0,0.10000156221635192,0.0,-0.16735425218459976
2,0.15,812.917,755.448,-0.000323654,1.94278e-13,2.12075e-12,1.60532e-17,0.139766,0.139766,-0.271191,1.04256e-22,-3.95732e-17,7.2658e-21,0.566393,0.15000466627803455,0.0,0.0,0.15000466627803455,0.0,-0.23752914943612735
3,0.2,877.736,815.625,-0.000250719,2.08204e-14,-2.80828e-12,7.75518e-17,0.182324,0.182324,-0.355642,-7.9886e-24,1.24225e-16,-2.27541e-21,0.745887,0.20000293185083606,0.0,2.220446049250313e-16,0.20000293185083606,0.0,-0.2992765656736599
4,0.25,930.662,864.767,-0.000201746,-4.58252e-14,-2.50617e-12,2.40454e-16,0.223146,0.223146,-0.436744,9.49439e-23,-1.12385e-16,-3.6699e-20,0.918415,0.25000306086098534,0.0,-1.1102230246251565e-16,0.25000306086098534,0.0,-0.35386317873393613
5,0.3,975.481,906.384,-0.000166237,5.01236e-13,-4.20448e-12,1.20273e-16,0.262367,0.262367,-0.514725,2.49521e-16,-2.78383e-16,-5.43352e-17,1.08441,0.3000035561971257,2.220446049250313e-16,-3.3306690738754696e-16,0.3000035561971257,0.0,-0.40233507012318004
6,0.35,1014.38,942.503,-0.000139241,2.89719e-13,2.27303e-12,2.59181e-16,0.300106,0.300106,-0.589805,5.63426e-22,-1.81189e-18,2.67936e-20,1.24429,0.35000190019338095,0.0,0.0,0.35000190019338095,0.0,-0.4455646109051372
7,0.4,1048.74,974.413,-0.000118064,8.76531e-13,4.28196e-12,3.87363e-16,0.336475,0.336475,-0.66219,2.40465e-16,1.0852e-16,-5.57465e-17,1.39849,0.4000038687356473,2.220446049250313e-16,0.0,0.4000038687356473,-1.1102230246251565e-16,-0.4842793313997875
8,0.45,1079.5,1002.98,-0.000101086,5.18737e-13,-4.71623e-12,-1.61864e-16,0.371564,0.371564,-0.732054,3.86859e-16,-6.40184e-16,-1.46884e-17,1.54736,0.45000064317304234,4.440892098500626e-16,-6.661338147750939e-16,0.45000064317304234,0.0,-0.5190798351043205
9,0.5,1107.34,1028.84,-8.72514e-05,-9.52379e-14,-1.57985e-12,5.65466e-17,0.405465,0.405465,-0.79957,5.47331e-16,-7.90082e-16,-5.67488e-17,1.69125,0.49999983783776214,4.440892098500626e-16,-7.771561172376096e-16,0.49999983783776214,-1.1102230246251565e-16,-0.5504777828817905
10,0.55,1132.75,1052.44,-7.58352e-05,3.55685e-13,7.77215e-13,-2.80935e-16,0.438256,0.438256,-0.86489,3.88495e-16,-8.78133e-16,-6.03358e-18,1.83049,0.5500016570575952,4.440892098500626e-16,-8.881784197001252e-16,0.5500016570575952,0.0,-0.5789021291544345
11,0.6,1156.11,1074.13,-6.63191e-05,-2.49187e-13,1.52593e-12,-2.00396e-17,0.470004,0.470004,-0.928147,2.24614e-21,-5.54244e-16,3.54338e-19,1.96536,0.600000593206933,0.0,-5.551115123125783e-16,0.600000593206933,0.0,-0.6047145038129111
12,0.65,1177.71,1094.19,-5.83181e-05,-3.79166e-13,1.21625e-11,1.22863e-16,0.500777,0.500777,-0.989471,-5.94532e-16,6.69692e-16,3.15433e-19,2.09612,0.650002824946811,-5.551115123125783e-16,6.661338147750939e-16,0.650002824946811,0.0,-0.6282266929080382
13,0.7,1197.79,1112.84,-5.15416e-05,6.08123e-13,-9.84376e-12,2.6956e-16,0.530629,0.530629,-1.04897,-4.74294e-16,2.33634e-16,-1.82294e-16,2.223,0.7000012731947871,-4.440892098500626e-16,2.220446049250313e-16,0.7000012731947871,-2.220446049250313e-16,-0.6497016293190336
