,Time,S11,S22,S33,S12,S13,S23,LE11,LE22,LE33,LE12,LE13,LE23,SDV_EPBAR,E11,E12,E13,E22,E23,E33
0,1e-05,1.07449,1.07449,-1.33227e-15,0.0,0.0,-2.91411e-39,9.99995e-06,9.99995e-06,-8.57139e-06,0.0,0.0,0.0,0.0,9.999999999621423e-06,0.0,0.0,9.999999999621423e-06,0.0,-8.571353265707238e-06
1,2e-05,2.14898,2.14898,-1.22125e-15,0.0,0.0,-5.82819e-39,1.99998e-05,1.99998e-05,-1.71427e-05,0.0,0.0,0.0,0.0,1.9999999997244444e-05,0.0,0.0,1.9999999997244444e-05,0.0,-1.714255306473067e-05
2,3.5e-05,3.76068,3.76068,-6.32827e-15,0.0,0.0,-1.09277e-38,3.49994e-05,3.49994e-05,-2.99995e-05,0.0,0.0,0.0,0.0,3.5000012486241516e-05,0.0,0.0,3.5000012486241516e-05,0.0,-2.9999050019546836e-05
3,5.75e-05,6.17819,6.17819,-2.85327e-14,0.0,0.0,-2.4587e-38,5.74983e-05,5.74983e-05,-4.92843e-05,0.0,0.0,0.0,0.0,5.749995305892597e-05,0.0,0.0,5.749995305892597e-05,0.0,-4.928308554885685e-05
4,9.125e-05,9.80435,9.80435,-1.48437e-13,0.0,0.0,-5.53195e-38,9.12458e-05,9.12458e-05,-7.82107e-05,0.0,0.0,0.0,0.0,9.124996302456445e-05,0.0,0.0,9.124996302456445e-05,0.0,-7.820764162291827e-05
5,0.00014188,15.2434,15.2434,-7.47069e-13,0.0,0.0,-1.24464e-37,0.000141865,0.000141865,-0.000121599,0.0,0.0,0.0,0.0,0.00014187506331508892,0.0,0.0,0.00014187506331508892,0.0,-0.00012159160714120265
6,0.00021781,23.4014,23.4014,-3.77665e-12,0.0,0.0,-2.8003e-37,0.000217789,0.000217789,-0.000186676,0.0,0.0,0.0,0.0,0.0002178127177461242,0.0,0.0,0.0002178127177461242,0.0,-0.00018665857711963607
7,0.00033172,35.6372,35.6372,-1.9135e-11,0.0,0.0,-6.30019e-37,0.000331664,0.000331664,-0.000284283,0.0,0.0,0.0,0.0,0.0003317190065854625,0.0,0.0,0.0003317190065854625,0.0,-0.00028424259541681707
8,0.00050258,53.9884,53.9884,-9.68222e-11,0.0,0.0,-1.41738e-36,0.000502452,0.000502452,-0.000430673,0.0,0.0,0.0,0.0,0.0005025782501502096,0.0,0.0,0.0005025782501502096,0.0,-0.00043058027369557994
9,0.00075887,81.5092,81.5092,-4.8993e-10,0.0,0.0,-3.18853e-36,0.000758579,0.000758579,-0.000650211,0.0,0.0,0.0,0.0,0.0007588667938165372,0.0,0.0,0.0007588667938165372,0.0,-0.0006499996586357693
10,0.0011433,122.777,122.777,-2.4781e-09,0.0,0.0,-7.1723e-36,0.00114265,0.00114265,-0.000979412,0.0,0.0,0.0,0.0,0.0011433030732321825,0.0,0.0,0.0011433030732321825,0.0,-0.0009789325326119425
11,0.00172,184.65,184.65,-1.25287e-08,0.0,0.0,-1.61313e-35,0.00171847,0.00171847,-0.00147298,0.0,0.0,0.0,0.0,0.001719947415747436,0.0,0.0,0.001719947415747436,0.0,-0.0014718956974104636
12,0.0025849,277.392,277.392,-6.33008e-08,0.0,0.0,-3.62737e-35,0.00258159,0.00258159,-0.00221279,0.0,0.0,0.0,0.0,0.0025849251728629064,0.0,0.0,0.0025849251728629064,0.0,-0.0022103435850081565
13,0.0035849,324.507,312.327,0.169689,0.00238409,0.024819,-0.0119536,0.00357852,0.00357852,-0.00376993,-8.56534e-12,-3.2967e-07,1.40045e-06,0.00117458,0.00358493054717135,-8.565370634983083e-12,-3.296699456756258e-07,0.00358493054717135,1.4004509807374887e-06,-0.0037628327354289892
14,0.0045849,337.447,312.765,-0.330091,0.00648152,-0.00503915,-0.0937285,0.00457445,0.00457445,-0.00569459,6.86848e-10,-5.20762e-06,2.70883e-06,0.0029531,0.004584928768509355,6.868479118793402e-10,-5.207606440404966e-06,0.004584928768509355,2.7088336689296e-06,-0.005678406556297144
15,0.0053349,344.543,315.74,-0.217055,0.00525523,0.00258504,-0.078896,0.00532075,0.00532075,-0.00713348,9.72213e-11,-6.16931e-06,4.18443e-06,0.00429003,0.005334930329121246,9.722134208800526e-11,-6.169290969859631e-06,0.005334930329121246,4.1844387548284345e-06,-0.007108097123487478
16,0.0060849,350.878,319.451,0.0952496,0.00448853,0.0277885,-0.0329764,0.00606649,0.00606649,-0.00857027,3.68579e-10,-6.14036e-06,7.00313e-06,0.00562829,0.006084928417094071,3.6857894514241707e-10,-6.140341147986561e-06,0.006084928417094071,7.003154522067234e-06,-0.008533649925377751
17,0.0070849,358.349,323.218,-0.293887,0.00554401,0.00456833,-0.0973815,0.00705995,0.00705995,-0.0105003,2.49573e-10,-9.38615e-06,7.09631e-06,0.00742442,0.007084930198717254,2.495730289098219e-10,-9.386105950248691e-06,0.007084930198717254,7.096335178813362e-06,-0.010445364298536042
18,0.0080849,365.027,327.749,-0.431644,0.00559542,-0.00136899,-0.12004,0.00805242,0.00805242,-0.0124271,-4.52506e-11,-1.18386e-05,7.98559e-06,0.00922155,0.008084927931183428,-4.525058105997459e-11,-1.1838529924035335e-05,0.008084927931183428,7.985621884865068e-06,-0.012350202460202131
19,0.0090849,371.255,332.644,-0.37307,0.00539447,0.0052771,-0.11321,0.00904391,0.00904391,-0.0143513,4.16833e-10,-1.35892e-05,9.73626e-06,0.0110194,0.009084929720343693,4.168330125509101e-10,-1.3589107667244527e-05,0.009084929720343693,9.73630739742326e-06,-0.014248810963580105
20,0.010085,377.697,338.203,0.357609,0.00516515,0.0580746,-0.00278421,0.0100344,0.0100344,-0.0162652,2.08726e-11,-1.29514e-05,1.62121e-05,0.0128129,0.010084913407549134,2.0872636952162793e-11,-1.295131613099354e-05,0.010084913407549134,1.621223141690109e-05,-0.016133635905703714
21,0.011085,383.179,343.002,0.412028,0.00497732,0.0628486,0.000309548,0.0110239,0.0110239,-0.0181899,3.92439e-11,-1.38427e-05,1.88904e-05,0.0146148,0.011084887084752193,3.924394142984511e-11,-1.3842604190239527e-05,0.011084887084752193,1.889057842463515e-05,-0.01802546231351454
22,0.012085,387.797,347.051,-0.170147,0.00480347,0.0248196,-0.0896147,0.0120125,0.0120125,-0.0201246,-2.82806e-10,-1.66047e-05,1.7177e-05,0.0164243,0.012084939848757026,-2.828060008397415e-10,-1.66045621426969e-05,0.012084939848757026,1.717714752547117e-05,-0.019923451839384154
23,0.013085,393.203,352.014,0.297765,0.00463196,0.0586126,-0.0221654,0.0130001,0.0130001,-0.0220426,-1.80982e-10,-1.6383e-05,2.15671e-05,0.0182248,0.013084968668301,-1.8098200715854773e-10,-1.6382865799413615e-05,0.013084968668301,2.156733257163701e-05,-0.02180143709518012
24,0.014085,397.356,355.727,-0.351303,0.00450257,0.0144662,-0.121783,0.0139867,0.0139867,-0.023978,3.92779e-10,-1.93421e-05,1.89612e-05,0.0200372,0.014084971518679934,3.9277892049938146e-10,-1.934191294283849e-05,0.014084971518679934,1.89613797647592e-05,-0.02369281172021309
25,0.015085,402.645,360.662,0.358588,0.00436715,0.0664169,-0.0165513,0.0149723,0.0149723,-0.0258916,-9.41805e-11,-1.82861e-05,2.45412e-05,0.0218372,0.015084946373268515,-9.418055224585942e-11,-1.8285932810280237e-05,0.015084946373268515,2.454150113773146e-05,-0.025559286742838805
26,0.016085,407.102,364.752,0.351851,0.00427318,0.0670518,-0.0200335,0.0159569,0.0159569,-0.027816,-2.38041e-10,-1.8971e-05,2.62682e-05,0.0236447,0.01608489120352563,-2.3804103133073795e-10,-1.8970820051755766e-05,0.01608489120352563,2.6268545012086975e-05,-0.027432697277661733
27,0.017085,411.026,368.317,-0.0629674,0.004181,0.0389178,-0.0829374,0.0169406,0.0169406,-0.0297462,1.38301e-10,-2.09366e-05,2.51718e-05,0.0254566,0.01708490568748644,1.383009262667656e-10,-2.0936380830893775e-05,0.01708490568748644,2.517211681252185e-05,-0.029308136117080053
28,0.018085,414.986,371.944,-0.304207,0.00408293,0.0213905,-0.122247,0.0179233,0.0179233,-0.031673,-2.89365e-10,-2.26855e-05,2.43916e-05,0.0272671,0.018084886284298385,-2.89364976424622e-10,-2.2685242686004692e-05,0.018084886284298385,2.439189747760473e-05,-0.03117666448209777
29,0.019085,419.032,375.679,-0.330732,0.00399178,0.0206413,-0.126845,0.0189051,0.0189051,-0.0335958,-9.76008e-11,-2.38175e-05,2.47103e-05,0.0290757,0.01908493286818902,-9.760081631782214e-11,-2.3817216365573657e-05,0.01908493286818902,2.4710605301958566e-05,-0.033037728191593896
30,0.020085,423.695,380.061,0.395333,0.00391332,0.0770795,-0.0163261,0.0198859,0.0198859,-0.0355058,8.82883e-11,-2.23006e-05,3.01646e-05,0.0308769,0.020084941694509917,8.828826558726632e-11,-2.2300351343429448e-05,0.020084941694509917,3.016505495612165e-05,-0.03488286346562475
