,Time,U2,RF2
0,0.0,0.0,0.0
1,0.00430732,1.12044e-05,1.07098
2,0.0248491,6.46387e-05,6.17852
3,0.128842,0.00033515,32.0354
4,0.655304,0.00170461,162.935
5,3.32052,0.00863751,825.597
6,16.8132,0.264184,25146.8
7,22.4178,0.4113,38107.5
8,28.0224,0.558416,44618.9
9,33.6271,0.705532,46697.1
10,38.1808,0.825064,47977.1
11,41.12,0.902214,48699.5
12,46.5231,1.04404,49881.7
13,55.5007,1.27969,51556.5
14,64.4782,1.51535,52980.3
15,73.4558,1.751,54223.6
16,80.75,1.94246,55131.6
17,85.3089,2.06213,55661.0
18,90.635,2.20193,56246.8
19,99.4229,2.43261,57147.5
20,109.01,2.68426,58048.6
21,118.597,2.9359,58876.2
22,128.184,3.18755,59615.5
23,137.77,3.43919,60297.1
24,147.357,3.69084,60933.6
25,160.539,4.03685,61747.5
26,174.919,4.41432,62567.2
27,189.3,4.79179,63326.9
28,203.68,5.16926,64034.1
29,218.06,5.54673,64695.9
30,232.441,5.92419,65316.6
31,246.821,6.30166,65900.3
32,261.201,6.67913,66450.7
33,275.582,7.0566,66970.3
34,289.962,7.43407,67461.5
35,304.342,7.81154,67926.4
36,313.33,8.04746,68204.3
37,324.115,8.33056,68525.7
38,334.9,8.61366,68834.3
39,345.685,8.89676,69130.7
40,356.471,9.17986,69415.6
41,367.256,9.46296,69689.2
42,378.041,9.74606,69951.9
43,388.826,10.0292,70204.2
44,399.612,10.3123,70446.2
45,410.397,10.5954,70678.1
46,421.182,10.8785,70900.3
47,431.967,11.1616,71112.8
48,442.752,11.4447,71315.8
49,453.538,11.7278,71509.2
50,464.323,12.0109,71693.1
51,472.412,12.2232,71824.6
52,480.501,12.4355,71950.7
53,488.59,12.6479,72071.0
54,496.678,12.8602,72185.5
55,504.262,13.0592,72287.3
56,510.329,13.2185,72364.7
57,516.395,13.3777,72438.1
58,522.462,13.537,72507.4
59,527.77,13.6763,72564.4
60,532.32,13.7957,72610.1
61,536.87,13.9152,72652.7
62,540.852,14.0197,72687.0
63,544.264,14.1093,72713.9
64,547.677,14.1988,72738.2
65,551.089,14.2884,72759.6
66,553.862,14.3612,72774.8
67,556.421,14.4284,72786.9
68,558.98,14.4955,72796.9
69,561.54,14.5627,72804.7
70,564.099,14.6299,72810.0
71,566.019,14.6803,72812.2
72,567.938,14.7307,72812.9
73,569.858,14.7811,72811.8
74,571.777,14.8315,72809.2
75,573.697,14.8818,72804.9
76,575.616,14.9322,72798.8
77,577.536,14.9826,72791.0
78,579.456,15.033,72781.4
79,581.255,15.0802,72770.6
80,582.695,15.118,72760.8
81,584.134,15.1558,72749.8
82,585.574,15.1936,72737.5
83,587.014,15.2314,72724.1
84,588.453,15.2692,72709.4
85,589.893,15.307,72693.4
86,591.333,15.3448,72676.2
87,592.772,15.3826,72657.6
88,594.212,15.4203,72637.6
89,595.652,15.4581,72616.4
90,597.091,15.4959,72593.8
91,598.531,15.5337,72569.9
92,599.971,15.5715,72544.7
93,601.41,15.6093,72518.2
94,602.85,15.6471,72490.5
95,604.29,15.6849,72461.6
96,605.729,15.7227,72431.4
97,607.169,15.7604,72399.9
98,608.609,15.7982,72367.2
99,610.048,15.836,72333.3
100,611.488,15.8738,72298.1
101,612.927,15.9116,72261.6
102,614.367,15.9494,72223.8
103,615.807,15.9872,72184.8
104,617.246,16.025,72144.6
105,618.686,16.0628,72103.1
106,620.126,16.1006,72060.4
107,621.565,16.1383,72016.4
108,623.005,16.1761,71971.1
109,624.445,16.2139,71924.7
110,625.884,16.2517,71877.1
111,627.324,16.2895,71828.2
112,628.764,16.3273,71778.1
113,630.203,16.3651,71726.9
114,631.643,16.4029,71674.5
115,633.083,16.4407,71621.0
116,634.522,16.4784,71566.3
117,635.962,16.5162,71510.5
118,637.402,16.554,71453.6
119,638.841,16.5918,71395.7
120,640.281,16.6296,71336.8
121,641.721,16.6674,71277.0
122,643.16,16.7052,71216.2
123,644.6,16.743,71154.5
124,646.039,16.7808,71092.1
125,647.479,16.8186,71028.8
126,648.919,16.8563,70964.8
127,650.358,16.8941,70900.0
128,651.798,16.9319,70834.4
129,653.238,16.9697,70768.1
