,Time,U2,RF2,Time,U2_ext,Strain_eng,Strain_ext
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.00116718,4.2936e-07,6.18788e-05,0.00116718,7.35632e-09,1.471264e-08,1.47126398869649e-08
2,0.00335564,1.23441e-06,0.0001779008,0.00335564,2.11494e-08,4.22988e-08,4.229879912356478e-08
3,0.00827968,3.04578e-06,0.000438952,0.00827968,5.21839e-08,1.043678e-07,1.0436779451160887e-07
4,0.0193588,7.12134e-06,0.001026316,0.0193588,1.22012e-07,2.44024e-07,2.44023970121908e-07
5,0.0442867,1.629136e-05,0.00234788,0.0442867,2.79124e-07,5.58248e-07,5.58247844228421e-07
6,0.100375,3.6924e-05,0.0053214,0.100375,6.32626e-07,1.265252e-06,1.2652511996293655e-06
7,0.226572,8.33472e-05,0.0120118,0.226572,1.42801e-06,2.85602e-06,2.85601592163534e-06
8,0.510517,0.0001877994,0.027065159999999998,0.510517,3.21763e-06,6.43526e-06,6.435239293796036e-06
9,1.14939,0.000422818,0.060934800000000004,1.14939,7.2443e-06,1.44886e-05,1.448849504122214e-05
10,2.58687,0.000951606,0.13713999999999998,2.58687,1.63045e-05,3.2609e-05,3.260846833813421e-05
11,5.82118,0.00214138,0.3085916,5.82118,3.66907e-05,7.33814e-05,7.33787077167918e-05
12,13.0984,0.0291054,4.188560000000001,13.0984,0.000498849,0.000997698,0.0009972006301394538
13,24.7702,0.0724318,7.072439999999999,24.7702,0.00269509,0.00539018,0.005375704971824666
14,36.442,0.1157582,7.706720000000001,36.442,0.0049851,0.0099702,0.009920825467393351
15,48.1138,0.1590844,8.1408,48.1138,0.00719688,0.01439376,0.014291153262345929
16,59.7856,0.20241,8.4764,59.7856,0.00941977,0.01883954,0.018664273735197707
17,71.4574,0.245738,8.74928,71.4574,0.0116651,0.0233302,0.023062211037057658
18,83.1292,0.289064,8.9716,83.1292,0.0138848,0.0277696,0.02739101739970259
19,94.801,0.33239,9.15976,94.801,0.0160962,0.0321924,0.03168508379121942
20,106.473,0.375716,9.32396,106.473,0.0183206,0.0366412,0.03598587130488733
21,118.145,0.419042,9.46868,118.145,0.0205542,0.0411084,0.04028591485522456
22,129.816,0.462368,9.59824,129.816,0.0228206,0.0456412,0.04463028576505481
23,141.488,0.505696,9.71592,141.488,0.025147,0.050294,0.049070124976747856
24,153.16,0.549022,9.823360000000001,153.16,0.0275397,0.0550794,0.05361602475959518
25,164.832,0.592348,9.92184,164.832,0.0300076,0.0600152,0.05828324764380592
26,176.504,0.635674,10.012319999999999,176.504,0.0325566,0.0651132,0.06308108459270416
27,188.175,0.679,10.095600000000001,188.175,0.0351929,0.0703858,0.06801914423507249
28,199.847,0.722326,10.17228,199.847,0.0379226,0.0758452,0.07310658521885877
29,211.519,0.765654,10.24288,211.519,0.0407526,0.0815052,0.07835377453626438
30,223.191,0.80898,10.30784,223.191,0.0436929,0.0873858,0.0837764669723563
31,234.863,0.852306,10.3676,234.863,0.0467476,0.0934952,0.08937917155029132
32,246.534,0.895632,10.42244,246.534,0.0499288,0.0998576,0.09518071687890742
33,258.206,0.938958,10.47264,258.206,0.0532468,0.1064936,0.10119609648862495
34,269.878,0.982284,10.51844,269.878,0.0567134,0.1134268,0.10744246689252782
35,281.55,1.025612,10.56004,281.55,0.0603419,0.1206838,0.11393903472018471
36,293.222,1.068938,10.59756,293.222,0.0641476,0.1282952,0.12070782096549819
37,304.893,1.112264,10.631120000000001,304.893,0.068148,0.136296,0.12777384973849937
38,316.565,1.15559,10.66084,316.565,0.0723638,0.1447276,0.13516670477244283
39,328.237,1.198916,10.68676,328.237,0.0768187,0.1536374,0.14291990727267595
40,339.909,1.242242,10.70896,339.909,0.0815411,0.1630822,0.15107355031659497
41,351.581,1.285568,10.7274,351.581,0.0865647,0.1731294,0.1596748790175589
42,363.252,1.328896,10.74208,363.252,0.0919306,0.1838612,0.16878129986014231
43,374.924,1.372222,10.75288,374.924,0.097689,0.195378,0.17846245335711738
44,386.596,1.415548,10.75976,386.596,0.103902,0.207804,0.18880383469277012
45,398.268,1.458874,10.76268,398.268,0.110621,0.221242,0.19986837368809773
46,409.94,1.5022,10.76112,409.94,0.117889,0.235778,0.21170073125290942
47,421.611,1.545526,10.755120000000002,421.611,0.125722,0.251444,0.2242980845841114
48,433.283,1.588854,10.74448,433.283,0.134174,0.268348,0.23771526631061174
49,444.955,1.63218,10.72908,444.955,0.143297,0.286594,0.251998416529824
50,456.627,1.675506,10.708680000000001,456.627,0.153145,0.30629,0.26719105827170925
51,468.299,1.718832,10.68292,468.299,0.163766,0.327532,0.28332157930481844
52,479.97,1.762158,10.65148,479.97,0.175207,0.350414,0.30041121210439375
53,491.642,1.805484,10.61392,491.642,0.187509,0.375018,0.31846682194194037
54,503.314,1.848812,10.569600000000001,503.314,0.200706,0.401412,0.33748029978334115
55,514.986,1.892138,10.517959999999999,514.986,0.214822,0.429644,0.3574254622294086
56,526.658,1.935464,10.45824,526.658,0.22987,0.45974,0.37825833766994793
57,538.329,1.97879,10.389479999999999,538.329,0.245851,0.491702,0.39991774992901086
58,550.001,2.02212,10.31076,550.001,0.26276,0.52552,0.4223353355442343
59,561.673,2.06544,10.22096,561.673,0.28059,0.56118,0.4454419455837978
60,573.345,2.10876,10.118879999999999,573.345,0.299327,0.598654,0.4691620251963777
61,583.59,2.1468,10.01828,583.59,0.316484,0.632968,0.4903992179604423
