,Time,U2,RF2
0,0.0,0.0,0.0
1,0.00273177,1.5548e-05,0.288386
2,0.0157596,8.96967e-05,1.6637
3,0.0817132,0.000465075,8.62625
4,0.415603,0.00236543,43.8742
5,2.10592,0.011986,222.319
6,10.6631,0.366598,6790.38
7,16.8836,0.723857,12648.9
8,22.2154,1.03008,16271.2
9,27.5472,1.3363,18273.8
10,32.879,1.64252,19658.7
11,40.2103,2.06358,21116.2
12,48.208,2.52291,22372.9
13,56.2057,2.98224,23407.1
14,64.2034,3.44157,24291.2
15,72.2011,3.90091,25063.6
16,81.1986,4.41766,25814.9
17,93.1952,5.10665,26667.7
18,105.192,5.79565,27414.3
19,117.188,6.48465,28087.3
20,129.185,7.17365,28692.8
21,141.181,7.86265,29239.6
22,153.178,8.55165,29743.2
23,165.175,9.24065,30213.3
24,177.171,9.92965,30644.3
25,189.168,10.6186,31049.3
26,201.164,11.3076,31431.2
27,213.161,11.9966,31785.4
28,229.656,12.944,32244.6
29,247.651,13.9775,32717.9
30,265.646,15.011,33165.5
31,283.641,16.0445,33588.1
32,301.636,17.078,33989.9
33,319.631,18.1115,34373.6
34,337.625,19.145,34740.0
35,355.62,20.1785,35091.0
36,373.615,21.212,35428.7
37,391.61,22.2455,35754.4
38,409.605,23.279,36069.8
39,418.04,23.7634,36214.4
40,431.958,24.5628,36446.8
41,447.141,25.4348,36694.5
42,462.324,26.3068,36935.6
43,475.09,27.04,37133.9
