,Time,U2,RF2
0,0.0,0.0,0.0
1,0.00095018,5.408e-07,1.016796e-05
2,0.00273177,1.5548e-06,2.9233e-05
3,0.00674034,3.8363e-06,7.2129e-05
4,0.0157596,8.96968e-06,0.0001686452
5,0.036053,2.05198e-05,0.000385806
6,0.0817132,4.65075e-05,0.00087442
7,0.184448,0.00010498,0.001973802
8,0.415603,0.000236543,0.0044474
9,0.9357,0.000532559,0.01001302
10,2.10592,0.0011986,0.0225356
11,4.73891,0.00269718,0.050711799999999994
12,10.6631,0.0366598,0.674238
13,20.1649,0.0912314,1.164086
14,29.6667,0.145803,1.324068
15,39.1685,0.200375,1.4293019999999999
16,48.6703,0.254946,1.5098900000000002
17,58.1721,0.309518,1.5749760000000002
18,67.674,0.36409,1.629032
19,77.1758,0.418661,1.6756820000000001
20,86.6776,0.473233,1.717072
21,96.1794,0.527804,1.7544860000000002
22,105.681,0.582376,1.7887639999999998
23,115.183,0.636948,1.8204500000000001
24,124.685,0.691519,1.850002
25,134.187,0.746091,1.8777940000000002
26,143.688,0.800663,1.9040139999999999
27,153.19,0.855234,1.928898
28,162.692,0.909806,1.9526020000000002
29,172.194,0.964378,1.975266
30,181.696,1.01895,1.997018
31,191.197,1.07352,2.01794
32,200.699,1.12809,2.0381400000000003
33,210.201,1.18266,2.0576999999999996
34,219.703,1.23724,2.07664
35,229.205,1.29181,2.09504
36,238.706,1.34638,2.1129000000000002
37,248.208,1.40095,2.1303400000000003
38,257.71,1.45552,2.1473400000000002
39,267.212,1.51009,2.16394
40,276.714,1.56467,2.18016
41,286.215,1.61924,2.19624
42,295.717,1.67381,2.2119
43,305.219,1.72838,2.2272
44,314.721,1.78295,2.24214
45,324.223,1.83752,2.25678
46,333.724,1.8921,2.27114
47,343.226,1.94667,2.28526
48,352.728,2.00124,2.2991599999999996
49,362.23,2.05581,2.3129
50,371.732,2.11038,2.3265
51,381.233,2.16495,2.33994
52,390.735,2.21953,2.3532800000000003
53,400.237,2.2741,2.36644
54,409.739,2.32867,2.3795
55,419.241,2.38324,2.3924000000000003
56,428.742,2.43781,2.40516
57,438.244,2.49238,2.4177199999999996
58,447.746,2.54696,2.43016
59,457.248,2.60153,2.4424
60,466.75,2.6561,2.45462
61,475.09,2.704,2.4652600000000002
