,Time,S11,S22,S33,S12,S13,S23,LE11,LE22,LE33,LE12,LE13,LE23,SDV_EPBAR,E11,E12,E13,E22,E23,E33
0,0.00033214,0.0104204,0.0104204,-1.73472e-18,0.0104204,-3.75073e-19,1.87536e-19,3.50006e-08,3.50006e-08,-3.00013e-08,1.29999e-07,2.33959e-24,-2.33957e-24,0.0,3.500060063998944e-08,1.299990084469016e-07,0.0,3.500060063998944e-08,0.0,-3.00012995557708e-08
1,0.00066428,0.0208408,0.0208408,0.0,0.0208408,-7.50145e-19,-3.75073e-19,7e-08,7e-08,-6e-08,2.6e-07,-4.67924e-24,-4.67924e-24,0.0,7.00000024611569e-08,2.6000003372494973e-07,0.0,7.00000024611569e-08,0.0,-5.999999819206181e-08
2,0.0011625,0.0364713,0.0364713,1.73472e-18,0.0364713,-8.43913e-19,-9.3768e-20,1.22501e-07,1.22501e-07,-1.05003e-07,4.54997e-07,-1.87165e-23,9.35792e-24,0.0,1.2250100756006077e-07,4.549971035494593e-07,0.0,1.2250100756006077e-07,0.0,-1.0500299452154138e-07
3,0.0019098,0.0599172,0.0599172,-1.56125e-17,0.0599172,-1.40652e-18,-2.81304e-19,2.0125e-07,2.0125e-07,-1.725e-07,7.475e-07,-9.35847e-24,-9.35847e-24,0.0,2.0125002020421334e-07,7.475002794521401e-07,0.0,2.0125002020421334e-07,0.0,-1.7249998507384845e-07
4,0.0030308,0.0950859,0.0950859,1.56125e-17,0.0950859,-1.96913e-18,-1.59406e-18,3.19375e-07,3.19375e-07,-2.7375e-07,1.18625e-06,-3.74339e-23,-3.74339e-23,0.0,3.1937505107215713e-07,1.1862507036664027e-06,0.0,3.1937505107215713e-07,0.0,-2.737499624760886e-07
5,0.0047122,0.147839,0.147839,3.64292e-17,0.147839,-3.09435e-18,-1.96913e-18,4.96562e-07,4.96562e-07,-4.25625e-07,1.84437e-06,-1.87169e-23,-1.87169e-23,0.0,4.96562123197819e-07,1.8443717009208882e-06,0.0,4.96562123197819e-07,0.0,-4.256249094281017e-07
6,0.0072344,0.226969,0.226969,5.0307e-17,0.226969,-1.96913e-18,-2.3442e-18,7.62346e-07,7.62346e-07,-6.53443e-07,2.83155e-06,-1.87169e-23,-1.87169e-23,0.0,7.623462905392842e-07,2.8315540088197366e-06,0.0,7.623462905392842e-07,0.0,-6.534427865467762e-07
7,0.011018,0.345663,0.345663,-5.20417e-18,0.345663,-5.71985e-18,-9.37589e-20,1.16101e-06,1.16101e-06,-9.95155e-07,4.31234e-06,1.56383e-28,1.56383e-28,0.0,1.1610106740445048e-06,4.312349298096763e-06,0.0,1.1610106740445048e-06,0.0,-9.951545048014765e-07
8,0.016693,0.523704,0.523704,2.1684e-16,0.523704,-2.71926e-18,-3.09433e-18,1.75903e-06,1.75903e-06,-1.50774e-06,6.53349e-06,2.36932e-28,2.36932e-28,0.0,1.759031547088341e-06,6.533511343276288e-06,0.0,1.759031547088341e-06,0.0,-1.5077388633155664e-06
9,0.025205,0.790765,0.790765,1.61329e-16,0.790765,-1.62218e-17,-4.59459e-18,2.65603e-06,2.65603e-06,-2.2766e-06,9.86523e-06,1.49739e-22,-1.49736e-22,0.0,2.6560335273373425e-06,9.865278661536081e-06,0.0,2.6560335273373425e-06,0.0,-2.2765974085903196e-06
10,0.037974,1.19136,1.19136,-5.20417e-18,1.19136,-1.32212e-17,-1.35963e-17,4.00153e-06,4.00153e-06,-3.42989e-06,1.48628e-05,2.4863e-27,2.4863e-27,0.0,4.001538006059846e-06,1.4862910451940436e-05,0.0,4.001538006059846e-06,0.0,-3.4298841179447592e-06
11,0.057126,1.79224,1.79224,-5.20417e-18,1.79224,-2.52234e-17,-1.35961e-17,6.01979e-06,6.01979e-06,-5.15983e-06,2.23592e-05,-5.9894e-22,5.9895e-22,0.0,6.019808118873371e-06,2.2359449968867295e-05,0.0,6.019808118873371e-06,0.0,-5.159816688138363e-06
12,0.085856,2.69356,2.69356,8.82974e-16,2.69356,-4.32264e-17,-4.36015e-17,9.04714e-06,9.04714e-06,-7.75472e-06,3.36036e-05,1.82005e-26,1.82005e-26,0.0,9.04718092553658e-06,3.360416460718163e-05,0.0,9.04718092553658e-06,0.0,-7.754689932193415e-06
13,0.1289,4.04552,4.04552,-1.33747e-15,4.04552,-6.72301e-17,-4.36005e-17,1.35881e-05,1.35881e-05,-1.16469e-05,5.04701e-05,-2.9944e-22,-2.9944e-22,0.0,1.3588192318669812e-05,5.047137363689558e-05,0.0,1.3588192318669812e-05,0.0,-1.16468321751384e-05
14,0.1936,6.07343,6.07343,-4.4461e-15,6.07343,-9.12327e-17,-6.76032e-17,2.03995e-05,2.03995e-05,-1.74853e-05,7.57694e-05,-5.98878e-22,-5.98878e-22,0.0,2.039970807121705e-05,7.577227057353753e-05,0.0,2.039970807121705e-05,0.0,-1.7485147133067258e-05
15,0.2906,9.11522,9.11522,-1.68806e-14,9.11522,-1.6324e-16,-1.8762e-16,3.06162e-05,3.06162e-05,-2.62425e-05,0.000113717,-2.99454e-21,-2.99454e-21,0.0,3.0616668680538695e-05,0.000113723466023119,0.0,3.0616668680538695e-05,0.0,-2.6242155668598777e-05
16,0.436,13.6777,13.6777,-9.28198e-14,13.6777,-3.07251e-16,-2.83622e-16,4.59409e-05,4.59409e-05,-3.93779e-05,0.000170637,1.19856e-21,-8.3849e-21,0.0,4.594195529938894e-05,0.00017065155932094456,0.0,4.594195529938894e-05,0.0,-3.9377124700701316e-05
17,0.6542,20.5211,20.5211,-4.51644e-13,20.5211,-2.59225e-16,-1.39577e-16,6.89265e-05,6.89265e-05,-5.90799e-05,0.000256013,1.1986e-21,-8.38506e-21,0.0,6.892887548581861e-05,0.00025604577412496887,0.0,6.892887548581861e-05,0.0,-5.9078154817093775e-05
18,0.9814,30.7854,30.7854,-2.27063e-12,30.7854,-2.59175e-16,-5.23601e-16,0.000103402,0.000103402,-8.86305e-05,0.000384065,9.58581e-21,-1.9166e-20,0.0,0.00010340734617098057,0.00038413876240506184,0.0,0.00010340734617098057,0.0,-8.862657243324801e-05
19,1.472,46.1799,46.1799,-1.14864e-11,46.1799,-8.35156e-16,-5.2347e-16,0.000155109,0.000155109,-0.000132951,0.00057612,-1.91638e-20,4.88259e-24,0.0,0.0001551210300230199,0.0005762859890021677,0.0,0.0001551210300230199,0.0,-0.0001329421624074456
20,2.209,69.2674,69.2674,-5.80909e-11,69.2674,-6.68665e-17,-9.07404e-16,0.000232656,0.000232656,-0.000199419,0.000864149,4.79775e-21,-1.43722e-20,0.0,0.00023268306650625625,0.0008645224843213395,0.0,0.00023268306650625625,0.0,-0.00019939911735289417
21,3.313,103.889,103.889,-2.93828e-10,103.889,-1.41058e-15,-1.0989e-15,0.000348943,0.000348943,-0.000299094,0.00129607,-1.91516e-20,-1.91516e-20,0.0,0.0003490038876905466,0.0012969102616959827,0.0,0.0003490038876905466,0.0,-0.0002990492758485619
22,4.97,218.553,225.279,0.000278343,221.916,-0.173969,-0.176349,0.00183489,0.00178807,-0.00277109,0.00835664,-7.68969e-06,-7.6261e-06,0.00408089,0.0018365744407529139,0.008391654181723052,-7.689660434406775e-06,0.0017896695503898385,-7.626070921418204e-06,-0.0027672540741559004
