,Time,U2,RF2,Time,U2_ext,Strain_eng,Strain_ext
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.001543,2.3462e-07,4.4019999999999995e-05,0.001543,7.32057e-09,1.464114e-08,1.46411399709162e-08
2,0.00443613,6.74532e-07,0.0001265576,0.00443613,2.10466e-08,4.20932e-08,4.2093199150755995e-08
3,0.0109457,1.664336e-06,0.00031226759999999996,0.0109457,5.19303e-08,1.038606e-07,1.0386059450468612e-07
4,0.0255921,3.8914e-06,0.000730116,0.0255921,1.21419e-07,2.42838e-07,2.4283797044571373e-07
5,0.0585466,8.90228e-06,0.001670272,0.0585466,2.77767e-07,5.55534e-07,5.555338456040828e-07
6,0.132694,2.01768e-05,0.0037856200000000004,0.132694,6.29552e-07,1.259104e-06,1.2591032072802186e-06
7,0.299526,4.55444e-05,0.00854516,0.299526,1.42107e-06,2.84214e-06,2.842135961142244e-06
8,0.674899,0.0001026214,0.01925404,0.674899,3.20198e-06,6.40396e-06,6.403939494803301e-06
9,1.51949,0.000231044,0.0433488,1.51949,7.20906e-06,1.441812e-05,1.441801605982185e-05
10,3.41981,0.000519998,0.0975616,3.41981,1.62251e-05,3.24502e-05,3.244967350362811e-05
11,7.69554,0.00117014,0.2195368,7.69554,3.65117e-05,7.30234e-05,7.302073392124366e-05
12,17.3159,0.01590444,2.98246,17.3159,0.000496457,0.000992914,0.0009924213869489434
13,32.7459,0.0395798,7.36096,32.7459,0.00141498,0.00282996,0.0028259632019425945
14,48.1759,0.063255,10.989,48.1759,0.0035042,0.0070084,0.006983955310372961
15,63.6059,0.0869304,12.00396,63.6059,0.00629292,0.01258584,0.012507296651828781
16,79.0359,0.1106056,12.610479999999999,79.0359,0.00899442,0.01798884,0.017828955396334674
17,94.4659,0.1342808,13.077440000000001,94.4659,0.0116683,0.0233366,0.023068465108311446
18,109.896,0.1579562,13.46308,109.896,0.0143548,0.0287096,0.02830520127811539
19,125.326,0.1816314,13.79276,125.326,0.0170715,0.034143,0.03357306439630872
20,140.756,0.205306,14.08136,140.756,0.0198288,0.0396576,0.038891428175702424
21,156.186,0.228982,14.338280000000001,156.186,0.0226318,0.0452636,0.04426910241122166
22,171.616,0.252658,14.569799999999999,171.616,0.0254839,0.0509678,0.049711453937370094
23,187.046,0.276332,14.7804,187.046,0.0283852,0.0567704,0.05521746474968954
24,202.476,0.300008,14.97284,202.476,0.0313285,0.062657,0.060772375606188346
25,217.906,0.323684,15.14664,217.906,0.0342526,0.0685052,0.06626066240069345
26,233.336,0.347358,15.30704,233.336,0.037204,0.074408,0.07176981221555058
27,248.766,0.371034,15.4564,248.766,0.0401973,0.0803946,0.07732634477499889
28,264.196,0.39471,15.59636,264.196,0.0432421,0.0864842,0.08294697850092449
29,279.626,0.418384,15.727879999999999,279.626,0.0463388,0.0926776,0.08863119770474885
30,295.056,0.44206,15.85204,295.056,0.049496,0.098992,0.09439339605013077
31,310.486,0.465734,15.9694,310.486,0.0527126,0.1054252,0.10023005733466613
32,325.916,0.48941,16.08064,325.916,0.0559922,0.1119844,0.10614616695300809
33,341.346,0.513086,16.18632,341.346,0.0593414,0.1186828,0.11215192176372507
34,356.776,0.53676,16.28688,356.776,0.0627618,0.1255236,0.1182483496032777
35,372.206,0.560436,16.38264,372.206,0.0662543,0.1325086,0.12443517216520367
36,387.636,0.584112,16.47388,387.636,0.0698237,0.1396474,0.1307189163182224
37,403.066,0.607786,16.561040000000002,403.066,0.0734735,0.146947,0.13710362958181388
38,418.496,0.631462,16.64432,418.496,0.0772081,0.1544162,0.143594761643092
39,433.926,0.655138,16.723959999999998,433.926,0.0810305,0.162061,0.15019515274894263
40,449.356,0.678812,16.80012,449.356,0.0849443,0.1698886,0.15690853060134133
41,464.786,0.702488,16.873,464.786,0.0889532,0.1779064,0.16373862536626174
42,480.216,0.726164,16.9428,480.216,0.0930591,0.1861182,0.17068595834140554
43,495.646,0.749838,17.00956,495.646,0.0972722,0.1945444,0.17776485745709547
44,511.076,0.773514,17.073520000000002,511.076,0.101592,0.203184,0.18497137625268043
45,526.506,0.79719,17.13472,526.506,0.106024,0.212048,0.19231149082330262
46,541.936,0.820864,17.193279999999998,541.936,0.110576,0.221152,0.1997946755050522
47,557.366,0.84454,17.24932,557.366,0.115255,0.23051,0.20742871759368403
48,572.796,0.868214,17.302880000000002,572.796,0.120065,0.24013,0.21521621283142942
49,588.226,0.89189,17.354080000000003,588.226,0.125015,0.25003,0.22316755102621433
50,603.656,0.915566,17.402919999999998,603.656,0.130112,0.260224,0.2312894829405679
51,619.086,0.93924,17.44948,619.086,0.135364,0.270728,0.23958996458434695
52,634.516,0.962916,17.4938,634.516,0.14078,0.28156,0.24807808585861763
53,649.946,0.986592,17.535880000000002,649.946,0.14637,0.29274,0.256763996816586
54,665.376,1.010266,17.5758,665.376,0.152144,0.304288,0.2656572980144314
55,680.806,1.033942,17.61352,680.806,0.158113,0.316226,0.27476855068158007
56,696.236,1.057618,17.64908,696.236,0.16429,0.32858,0.2841107026959887
57,711.666,1.081292,17.68244,711.666,0.170687,0.341374,0.2936944617611957
58,727.096,1.104968,17.7136,727.096,0.177317,0.354634,0.3035313071440913
59,742.526,1.128644,17.74248,742.526,0.184194,0.368388,0.3136334047171788
60,757.956,1.152318,17.769119999999997,757.956,0.191332,0.382664,0.32401207305700286
61,771.5,1.1731,17.790599999999998,771.5,0.197817,0.395634,0.3333487923151825
