,Time,U2,RF2
0,0.0,0.0,0.0
1,0.00417738,1.19054e-05,1.51624
2,0.0240994,6.86824e-05,8.74725
3,0.124954,0.000356116,45.3542
4,0.635533,0.00181125,230.676
5,3.22034,0.00917786,1168.84
6,16.3059,0.28071,35716.0
7,43.5497,1.06421,87249.8
8,67.1609,1.74324,95344.0
9,96.2209,2.57897,101396.0
10,125.281,3.41469,105690.0
11,154.341,4.25042,109026.0
12,183.401,5.08615,111733.0
13,212.461,5.92188,113986.0
14,241.521,6.75761,115890.0
15,270.581,7.59334,117515.0
16,299.641,8.42907,118910.0
17,328.701,9.2648,120110.0
18,357.761,10.1005,121142.0
19,386.821,10.9363,122026.0
20,415.881,11.772,122777.0
21,444.941,12.6077,123406.0
22,474.001,13.4434,123922.0
23,503.061,14.2792,124332.0
24,532.121,15.1149,124638.0
25,561.181,15.9506,124844.0
26,584.792,16.6297,124935.0
27,606.587,17.2565,124957.0
28,627.02,17.8441,124922.0
29,643.366,18.3142,124852.0
30,658.691,18.7549,124752.0
31,670.951,19.1075,124644.0
32,682.444,19.438,124519.0
33,691.639,19.7024,124398.0
34,698.535,19.9008,124293.0
35,704.138,20.0619,124195.0
36,708.663,20.192,124105.0
37,712.058,20.2897,124028.0
38,714.967,20.3733,123952.0
39,717.331,20.4413,123882.0
40,719.513,20.5041,123809.0
41,721.695,20.5668,123728.0
42,723.74,20.6256,123645.0
43,725.377,20.6727,123572.0
44,726.5,20.705,123519.0
