,Time,U2,RF2,Time,U2_ext,Strain_eng,Strain_ext
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.001314,3.0318e-07,4.2867599999999996e-05,0.001314,5.19474e-09,1.038948e-08,1.0389479889058654e-08
2,0.00377775,8.71642e-07,0.000123244,0.00377775,1.49349e-08,2.98698e-08,2.986979952067272e-08
3,0.00932119,2.15068e-06,0.00030409079999999997,0.00932119,3.68502e-08,7.37004e-08,7.370039728922013e-08
4,0.0217939,5.02852e-06,0.000710996,0.0217939,8.61597e-08,1.723194e-07,1.723193852354574e-07
5,0.0498576,1.150366e-05,0.001626536,0.0498576,1.97106e-07,3.94212e-07,3.942119222307513e-07
6,0.113001,2.60728e-05,0.003686492,0.113001,4.46735e-07,8.9347e-07,8.934696008411031e-07
7,0.255073,5.88532e-05,0.008321400000000001,0.255073,1.0084e-06,2.0168e-06,2.016797966154852e-06
8,0.574736,0.000132609,0.01874988,0.574736,2.27216e-06,4.54432e-06,4.544309674686356e-06
9,1.29398,0.00029856,0.042214,1.29398,5.11562e-06,1.023124e-05,1.0231187661323583e-05
10,2.91227,0.00067195,0.0950068,2.91227,1.15135e-05,2.3027e-05,2.3026734882603168e-05
11,6.55342,0.001512076,0.2137864,6.55342,2.59091e-05,5.18182e-05,5.181685748344986e-05
12,14.746,0.020552,2.904032,14.746,0.000352325,0.00070465,0.0007044018507542356
13,27.886,0.0511456,7.08488,27.886,0.000883718,0.001767436,0.0017658759229466484
14,41.026,0.0817392,8.96232,41.026,0.00245275,0.0049055,0.004893507239209251
15,54.166,0.1123328,9.6464,54.166,0.00393418,0.00786836,0.007837565882781035
16,67.306,0.1429264,10.11864,67.306,0.00536803,0.01073606,0.010678837704828416
17,80.446,0.17352,10.48684,80.446,0.00681189,0.01362378,0.013531810680922842
18,93.586,0.204114,10.788440000000001,93.586,0.00827435,0.0165487,0.016413262432000687
19,106.726,0.234708,11.04064,106.726,0.00974589,0.01949178,0.019304248223998007
20,119.866,0.2653,11.257719999999999,119.866,0.0112354,0.0224708,0.022222051069835113
21,133.006,0.295894,11.44824,133.006,0.0127482,0.0254964,0.025176788041445096
22,146.146,0.326488,11.617799999999999,146.146,0.0142887,0.0285774,0.02817668250539979
23,159.286,0.357082,11.770280000000001,159.286,0.0158608,0.0317216,0.031228863223728812
24,172.426,0.387676,11.908479999999999,172.426,0.017468,0.034936,0.034339589056631474
25,185.566,0.41827,12.03452,185.566,0.019113,0.038226,0.03751348744166204
26,198.706,0.448862,12.149959999999998,198.706,0.0207986,0.0415972,0.04075530429651159
27,211.846,0.479456,12.256120000000001,211.846,0.0225285,0.045057,0.044071429383770476
28,224.986,0.51005,12.35408,224.986,0.0243038,0.0486076,0.0474631888889471
29,238.126,0.540644,12.44456,238.126,0.0261296,0.0522592,0.05093947179972054
30,251.266,0.571238,12.52828,251.266,0.0280101,0.0560202,0.05450731388899566
31,264.406,0.60183,12.60584,264.406,0.0299474,0.0598948,0.05816965791581786
32,277.546,0.632424,12.677760000000001,277.546,0.0319454,0.0638908,0.06193275407352443
33,290.686,0.663018,12.74432,290.686,0.0340134,0.0680268,0.06581283385612191
34,303.826,0.693612,12.806,303.826,0.0361527,0.0723054,0.06981091013541417
35,316.966,0.724206,12.863,316.966,0.0383713,0.0767426,0.07394037239538126
36,330.106,0.754798,12.9156,330.106,0.0406763,0.0813526,0.0782126649355747
37,343.246,0.785392,12.964,343.246,0.0430766,0.0861532,0.0826422797025325
38,356.386,0.815986,13.00832,356.386,0.0455819,0.0911638,0.08724483306997155
39,369.526,0.84658,13.04872,369.526,0.0482038,0.0964076,0.09203901719919287
40,382.666,0.877174,13.08532,382.666,0.0509566,0.1019132,0.09704794174831015
41,395.806,0.907766,13.118079999999999,395.806,0.0538573,0.1077146,0.10229897391791311
42,408.946,0.93836,13.14708,408.946,0.0569264,0.1138528,0.10782499632906078
43,422.086,0.968954,13.17228,422.086,0.0601898,0.1203796,0.11366755645511797
44,435.226,0.999548,13.19356,435.226,0.06368,0.12736,0.1198786161707357
45,448.366,1.030142,13.21076,448.366,0.0674394,0.1348788,0.1265258610905646
46,461.506,1.060734,13.22352,461.506,0.0715238,0.1430476,0.13369802873995398
47,474.646,1.091328,13.23148,474.646,0.0760087,0.1520174,0.14151466632629947
48,487.786,1.121922,13.23388,487.786,0.0809986,0.1619972,0.15014024878826213
49,500.926,1.152516,13.2304,500.926,0.0864591,0.1729182,0.15949483151931493
50,514.066,1.18311,13.21944,514.066,0.0923807,0.1847614,0.16954140410244883
51,527.206,1.213704,13.20092,527.206,0.0987409,0.1974818,0.18022085185758363
52,540.346,1.244296,13.17424,540.346,0.105542,0.211084,0.1915158263272227
53,553.486,1.27489,13.13892,553.486,0.112794,0.225588,0.20342072883354115
54,566.626,1.305484,13.09436,566.626,0.120508,0.241016,0.21593039896772268
55,579.766,1.336078,13.04008,579.766,0.128694,0.257388,0.2290365534188187
56,592.906,1.366672,12.97548,592.906,0.137361,0.274722,0.24272811562069765
57,606.046,1.397264,12.9,606.046,0.146511,0.293022,0.2569821143394811
58,619.186,1.427858,12.813,619.186,0.15615,0.3123,0.27178132292010393
59,632.326,1.458452,12.71392,632.326,0.166291,0.332582,0.2871184136259875
60,645.466,1.489046,12.602,645.466,0.176954,0.353908,0.3029952253573688
61,657.0,1.5159,12.49264,657.0,0.186764,0.373528,0.31738261222090297
