,Time,U2,RF2
0,0.0,0.0,0.0
1,0.00223387,1.15195e-05,0.213779
2,0.0128873,6.64565e-05,1.23329
3,0.0668201,0.000344575,6.39459
4,0.339855,0.00175255,32.5237
5,1.72209,0.00888042,164.803
6,8.71968,0.271613,5041.65
7,21.5887,0.941272,16456.6
8,30.33,1.39614,21600.0
9,33.4714,1.5596,22792.4
10,40.8468,1.94339,24950.9
11,48.2222,2.32718,26578.3
12,55.5977,2.71097,27889.1
13,62.9731,3.09476,28981.6
14,70.3485,3.47855,29920.8
15,77.724,3.86234,30749.7
16,85.0994,4.24614,31485.4
17,92.4748,4.62993,32143.7
18,99.8503,5.01372,32724.5
19,107.226,5.39751,33259.8
20,114.601,5.7813,33758.3
21,121.977,6.16509,34227.0
22,129.352,6.54888,34666.1
23,136.727,6.93267,35081.5
24,144.103,7.31646,35472.4
25,155.166,7.89215,36017.2
26,166.229,8.46783,36523.0
27,177.292,9.04352,36998.3
28,188.355,9.6192,37443.1
29,199.419,10.1949,37862.3
30,210.482,10.7706,38258.5
31,221.545,11.3463,38635.8
32,232.608,11.9219,38989.4
33,243.671,12.4976,39326.7
34,254.734,13.0733,39651.2
35,265.797,13.649,39961.1
36,276.861,14.2247,40257.4
37,287.924,14.8004,40542.5
38,298.987,15.3761,40816.8
39,310.05,15.9517,41081.4
40,321.113,16.5274,41338.2
41,332.176,17.1031,41588.0
42,343.239,17.6788,41831.3
43,354.303,18.2545,42068.6
44,365.366,18.8302,42299.6
45,376.429,19.4059,42524.7
46,387.492,19.9815,42744.5
47,388.5,20.034,42764.3
