,Time,S11,S22,S33,S12,S13,S23,LE11,LE22,LE33,LE12,LE13,LE23,SDV_EPBAR,E11,E12,E13,E22,E23,E33
0,0.050003,364.285,363.957,0.00450114,364.125,-9.10812e-08,-9.10734e-08,0.00437941,0.00463234,-0.00760945,0.0885742,-6.08858e-14,-1.31134e-13,0.0277598,0.0043890136302675575,0.0926153216596477,-6.084022174945858e-14,0.0046430858733768066,-1.31117339208231e-13,-0.00758057143178148
1,0.1,407.439,406.758,0.00598667,407.104,-2.49645e-07,-2.49294e-07,0.00788786,0.00840319,-0.0147232,0.17433,-2.45852e-12,-2.57926e-12,0.0573445,0.007919051124161136,0.19044834896273732,-2.4584778657299466e-12,0.008438595905785329,-2.5792701308091637e-12,-0.01461534366980144
2,0.15,434.393,433.319,0.00338659,433.858,-1.86884e-07,-1.8665e-07,0.0112131,0.011973,-0.0215153,0.256342,4.64106e-13,3.13093e-13,0.0857638,0.011276202443250893,0.2921945829255552,4.640732242933154e-13,0.012044963283175392,3.1308289294429414e-13,-0.021285496977302865
3,0.2,454.17,452.67,0.0571922,453.454,-4.27302e-06,-4.26271e-06,0.0143874,0.0153744,-0.0280155,0.33489,-9.66196e-11,-9.73484e-11,0.113036,0.014491396788632427,0.3977866202373219,-9.661960120865842e-11,0.015493194102910612,-9.734835160202238e-11,-0.02762670510163101
4,0.25,469.885,467.923,-0.175034,468.799,1.39678e-05,1.39107e-05,0.0174289,0.0186267,-0.0342502,0.410237,4.2349e-10,4.23045e-10,0.139227,0.01758166952195328,0.5071749432494927,4.2348990980656254e-10,0.018801259112097624,4.2304493241829277e-10,-0.03367030130176918
5,0.3,482.902,480.392,-0.177908,481.545,2.15649e-05,2.14755e-05,0.0203505,0.0217429,-0.0402389,0.482643,8.66421e-10,8.61314e-10,0.164414,0.02055898326975214,0.620351336316642,8.664209349973362e-10,0.02198099937592235,8.613139090840605e-10,-0.0394400660292048
6,0.35,494.004,490.922,-0.041858,492.435,2.70891e-06,2.68151e-06,0.0231623,0.0247339,-0.0459998,0.552316,6.34621e-10,6.2086e-10,0.188663,0.02343262918439537,0.7372718839072656,6.346210223995286e-10,0.0250423204685144,6.208600300539047e-10,-0.04495784680087378
7,0.4,503.672,500.049,0.056006,501.882,-6.8432e-06,-6.80886e-06,0.0258734,0.0276108,-0.0515514,0.619464,4.8974e-10,4.72178e-10,0.212042,0.02621102193388891,0.8579319233995046,4.897400263104146e-10,0.027995510699905912,4.72178074417684e-10,-0.050245168690758346
8,0.45,512.257,508.072,0.00207755,510.162,1.81602e-08,1.91595e-08,0.0284914,0.0303822,-0.0569089,0.68426,7.12375e-10,6.9663e-10,0.23461,0.02890116224647965,0.9823043874016371,7.123750478399415e-10,0.03084844894875438,6.966300869493125e-10,-0.05531987419394602
9,0.5,519.969,515.195,-0.000161609,517.577,3.17173e-07,3.17281e-07,0.0310226,0.0330549,-0.0620843,0.74686,7.64556e-10,7.50339e-10,0.256418,0.03150881572233333,1.1103630620323441,7.645559740865338e-10,0.033607282723504106,7.503389021223938e-10,-0.06019634199672719
10,0.55,526.971,521.582,-2.76779e-05,524.271,2.56837e-07,2.58282e-07,0.0334731,0.0356358,-0.0670899,0.80741,8.00586e-10,7.88531e-10,0.277516,0.03403962768616964,1.24209343808179,8.00586041904694e-10,0.036278365175151706,7.885310182587091e-10,-0.06488886893280832
11,0.6,533.386,527.354,-2.506e-05,530.363,2.20449e-07,2.22922e-07,0.0358481,0.0381307,-0.0719364,0.866036,8.30661e-10,8.21469e-10,0.297948,0.03649839042693248,1.377467867264706,8.306610954633697e-10,0.0388670039230794,8.214688929086833e-10,-0.06940992054180062
12,0.65,539.306,532.605,-2.27386e-05,535.946,1.85379e-07,1.89703e-07,0.0381527,0.0405452,-0.0766339,0.922862,8.54997e-10,8.4944e-10,0.317755,0.038889859248573355,1.5164822656974293,8.549969621185483e-10,0.04137837894147278,8.494400738356944e-10,-0.07377111606238385
13,0.7,544.805,537.407,-2.0742e-05,541.095,1.52209e-07,1.57852e-07,0.040391,0.042884,-0.0811911,0.977992,8.74286e-10,8.73067e-10,0.336974,0.04121781077556386,1.659111381831063,8.742859769483857e-10,0.04381680507815244,8.730669520673473e-10,-0.07798252293200703
14,0.75,549.942,541.818,-1.90091e-05,545.867,1.20637e-07,1.27305e-07,0.042567,0.0451516,-0.0856164,1.03153,8.89127e-10,8.9287e-10,0.355639,0.04348596759145473,1.8053547456063535,8.89126994252365e-10,0.0461864497530855,8.928700001575862e-10,-0.08205371211260126
15,0.8,554.764,545.885,-1.74932e-05,550.31,9.04416e-08,9.80755e-08,0.0446842,0.0473518,-0.0899167,1.08355,9.00006e-10,9.09321e-10,0.373778,0.045697576465058454,1.9551517406102699,9.000060696706669e-10,0.04849080326954436,9.093210628918769e-10,-0.08599268109011671
16,0.85,559.311,549.648,-1.61576e-05,554.462,6.14605e-08,7.00608e-08,0.0467462,0.0494886,-0.0940995,1.13415,9.07344e-10,9.22829e-10,0.391424,0.04785602946799172,2.108530168986726,9.073439777296244e-10,0.050733613783350284,9.228289243878862e-10,-0.08980780638821195
17,0.9,563.617,553.14,-1.49734e-05,558.358,3.36508e-08,4.3216e-08,0.0487559,0.0515654,-0.098171,1.1834,9.11511e-10,9.33748e-10,0.408601,0.049964023238456834,2.265457906798842,9.115110888302524e-10,0.05291804488056817,9.337479678350746e-10,-0.09350611995371627
