,Time,S11,S22,S33,S12,S13,S23,LE11,LE22,LE33,LE12,LE13,LE23,SDV_EPBAR,E11,E12,E13,E22,E23,E33
0,2.42e-07,0.029678,0.029678,1.04083e-17,0.0,0.0,0.0,1e-07,1e-07,-8.57143e-08,0.0,0.0,0.0,0.0,1.0000000494336803e-07,0.0,0.0,1.0000000494336803e-07,0.0,-8.571429632731054e-08
1,4.84e-07,0.059356,0.059356,3.46945e-18,0.0,0.0,0.0,2e-07,2e-07,-1.71429e-07,0.0,0.0,0.0,0.0,2.0000002010078788e-07,0.0,0.0,2.0000002010078788e-07,0.0,-1.7142898534050488e-07
2,8.47e-07,0.103873,0.103873,3.46945e-18,0.0,0.0,0.0,3.5e-07,3.5e-07,-3e-07,0.0,0.0,0.0,0.0,3.5000006115559756e-07,0.0,0.0,3.5000006115559756e-07,0.0,-2.9999995498908305e-07
3,1.3915e-06,0.170648,0.170648,-1.73472e-17,0.0,0.0,0.0,5.75e-07,5.75e-07,-4.92857e-07,0.0,0.0,0.0,0.0,5.750001652593539e-07,0.0,0.0,5.750001652593539e-07,0.0,-4.928568785311782e-07
4,2.2083e-06,0.270812,0.270812,-3.46945e-18,0.0,0.0,0.0,9.125e-07,9.125e-07,-7.82142e-07,0.0,0.0,0.0,0.0,9.125004163390571e-07,0.0,0.0,9.125004163390571e-07,0.0,-7.821416940778647e-07
5,3.4334e-06,0.421056,0.421056,5.20417e-17,0.0,0.0,0.0,1.41875e-06,1.41875e-06,-1.21607e-06,0.0,0.0,0.0,0.0,1.4187510064544995e-06,0.0,0.0,1.4187510064544995e-06,0.0,-1.2160692606233425e-06
6,5.2711e-06,0.646423,0.646423,2.42861e-17,0.0,0.0,0.0,2.17812e-06,2.17812e-06,-1.86696e-06,0.0,0.0,0.0,0.0,2.178122372020752e-06,0.0,0.0,2.178122372020752e-06,0.0,-1.8669582572128363e-06
7,8.0276e-06,0.984473,0.984473,1.35308e-16,0.0,0.0,0.0,3.31718e-06,3.31718e-06,-2.8433e-06,0.0,0.0,0.0,0.0,3.317185501838793e-06,0.0,0.0,3.317185501838793e-06,0.0,-2.8432959577884276e-06
8,1.2162e-05,1.49155,1.49155,4.68375e-16,0.0,0.0,0.0,5.02577e-06,5.02577e-06,-4.3078e-06,0.0,0.0,0.0,0.0,5.025782629175524e-06,0.0,0.0,5.025782629175524e-06,0.0,-4.307790721469473e-06
9,1.8365e-05,2.25216,2.25216,3.57353e-16,0.0,0.0,0.0,7.58864e-06,7.58864e-06,-6.50455e-06,0.0,0.0,0.0,0.0,7.5886687938009345e-06,0.0,0.0,7.5886687938009345e-06,0.0,-6.50452884543018e-06
10,2.7668e-05,3.39307,3.39307,-3.08781e-16,0.0,0.0,0.0,1.14329e-05,1.14329e-05,-9.79967e-06,0.0,0.0,0.0,0.0,1.1432965355773206e-05,0.0,0.0,1.1432965355773206e-05,0.0,-9.799621983441753e-06
11,4.1623e-05,5.10443,5.10443,-7.5287e-16,0.0,0.0,-1.23207e-38,1.71994e-05,1.71994e-05,-1.47423e-05,0.0,0.0,0.0,0.0,1.7199547910573543e-05,0.0,0.0,1.7199547910573543e-05,0.0,-1.4742191332794974e-05
12,6.2555e-05,7.67145,7.67145,-1.64105e-15,0.0,0.0,-2.77213e-38,2.58489e-05,2.58489e-05,-2.21562e-05,0.0,0.0,0.0,0.0,2.5849234085661976e-05,0.0,0.0,2.5849234085661976e-05,0.0,-2.2155954553237933e-05
13,9.3954e-05,11.5219,11.5219,-8.30239e-15,0.0,0.0,-6.23724e-38,3.88231e-05,3.88231e-05,-3.3277e-05,0.0,0.0,0.0,0.0,3.882385362641294e-05,0.0,0.0,3.882385362641294e-05,0.0,-3.327644632677984e-05
14,0.00014105,17.2976,17.2976,-4.47177e-14,0.0,0.0,-1.40336e-37,5.82842e-05,5.82842e-05,-4.99578e-05,0.0,0.0,0.0,0.0,5.828589855694233e-05,0.0,0.0,5.828589855694233e-05,0.0,-4.995655212991501e-05
15,0.0002117,25.9608,25.9608,-2.25018e-13,0.0,0.0,-3.1575e-37,8.7475e-05,8.7475e-05,-7.49785e-05,0.0,0.0,0.0,0.0,8.747882604942525e-05,0.0,0.0,8.747882604942525e-05,0.0,-7.4975689182466e-05
16,0.00031767,38.9552,38.9552,-1.14339e-12,0.0,0.0,-7.10416e-37,0.00013126,0.00013126,-0.000112508,0.0,0.0,0.0,0.0,0.0001312686149708142,0.0,0.0,0.0001312686149708142,0.0,-0.00011250167121223953
17,0.00047662,58.4457,58.4457,-5.85252e-12,0.0,0.0,-1.59836e-36,0.000196933,0.000196933,-0.0001688,0.0,0.0,0.0,0.0,0.00019695239257622177,0.0,0.0,0.00019695239257622177,0.0,-0.00016878575408152408
18,0.00071506,87.6791,87.6791,-2.95989e-11,0.0,0.0,-3.59607e-36,0.000295435,0.000295435,-0.00025323,0.0,0.0,0.0,0.0,0.00029547864521761724,0.0,0.0,0.00029547864521761724,0.0,-0.00025319793998968
19,0.0010727,131.524,131.524,-1.49709e-10,0.0,0.0,-8.09034e-36,0.000443169,0.000443169,-0.000379859,0.0,0.0,0.0,0.0,0.0004432672138892091,0.0,0.0,0.0004432672138892091,0.0,-0.0003797868627043455
20,0.0016092,197.279,197.279,-7.57628e-10,0.0,0.0,-1.82005e-35,0.00066473,0.00066473,-0.000569769,0.0,0.0,0.0,0.0,0.0006649509819482979,0.0,0.0,0.0006649509819482979,0.0,-0.0005696067124669746
21,0.0024139,295.884,295.884,-3.83263e-09,0.0,0.0,-4.09417e-35,0.00099698,0.00099698,-0.000854554,0.0,0.0,0.0,0.0,0.0009974771497625046,0.0,0.0,0.0009974771497625046,0.0,-0.0008541889727163854
22,0.003621,428.948,430.045,0.00210415,0.0,0.0,9.51517e-33,0.00149515,0.00149515,-0.00133636,0.0,0.0,0.0,8.63228e-05,0.0014962682940309335,0.0,0.0,0.0014962682940309335,0.0,-0.0013354674686005819
23,0.0054316,451.07,461.462,0.165379,-1.34064e-33,8.25197e-15,-5.40852e-15,0.00224193,0.00224193,-0.00272654,0.0,0.0,0.0,0.00126866,0.0022444450041991804,0.0,0.0,0.0022444450041991804,0.0,-0.002722826365705089
24,0.0078516,474.348,492.093,0.000122419,-1.03814e-33,-2.4281e-16,1.82883e-15,0.0032392,0.0032392,-0.00461758,0.0,0.0,0.0,0.00290035,0.003244451877416177,0.0,0.0,0.003244451877416177,0.0,-0.004606935367921339
25,0.010272,493.482,515.753,1.54824e-05,-9.7572e-34,-1.47869e-16,1.03821e-15,0.00423547,0.00423547,-0.00652772,0.0,0.0,0.0,0.00456474,0.004244452279975608,0.0,0.0,0.004244452279975608,0.0,-0.006506460719164053
26,0.012692,509.788,534.979,2.06854e-06,-9.18122e-34,-9.38009e-17,5.95072e-16,0.00523074,0.00523074,-0.00844987,0.0,0.0,0.0,0.0062496,0.0052444442044314865,0.0,0.0,0.0052444442044314865,0.0,-0.008414270190313045
27,0.015112,524.037,551.217,4.00281e-07,-5.33734e-34,2.48287e-15,2.84133e-15,0.00622503,0.00622503,-0.0103797,0.0,0.0,0.0,0.00794811,0.006244445766251383,0.0,0.0,0.006244445766251383,0.0,-0.010326016812961636
28,0.017532,536.704,565.318,1.69688e-07,-6.14336e-34,-1.10563e-15,1.64864e-15,0.00721833,0.00721833,-0.0123148,0.0,0.0,0.0,0.00965622,0.007244444941601369,0.0,0.0,0.007244444941601369,0.0,-0.012239283159936276
29,0.019952,548.111,577.818,-3.67767e-08,-5.80179e-34,-6.68971e-16,9.60399e-16,0.00821065,0.00821065,-0.0142534,0.0,0.0,0.0,0.0113713,0.008244449829572176,0.0,0.0,0.008244449829572176,0.0,-0.014152301198097517
30,0.022372,558.488,589.071,-3.17715e-07,-6.59002e-34,-3.01046e-15,5.60031e-16,0.00920198,0.00920198,-0.0161944,0.0,0.0,0.0,0.0130915,0.009244448382409898,0.0,0.0,0.009244448382409898,0.0,-0.016063975701183564
31,0.024792,568.01,599.325,-6.29565e-07,-6.90229e-35,7.92311e-16,5.46061e-15,0.0101923,0.0101923,-0.018137,0.0,0.0,0.0,0.0148156,0.010244418407964417,0.0,0.0,0.010244418407964417,0.0,-0.017973514486462894
32,0.027212,576.81,608.757,-9.36648e-07,-3.98554e-34,4.74681e-16,-4.50408e-15,0.0111817,0.0111817,-0.0200807,0.0,0.0,0.0,0.0165427,0.011244448869027979,0.0,0.0,0.011244448869027979,0.0,-0.019880425534499424
33,0.029632,584.993,617.501,-1.22104e-06,-3.77347e-34,2.82703e-16,-2.70667e-15,0.0121701,0.0121701,-0.0220249,0.0,0.0,0.0,0.0182719,0.012244457004898734,0.0,0.0,0.012244457004898734,0.0,-0.021784122827385954
34,0.032052,592.644,625.659,-1.47609e-06,-4.68724e-34,-2.48926e-15,9.73473e-16,0.0131575,0.0131575,-0.0239693,0.0,0.0,0.0,0.0200029,0.013244440792496093,0.0,0.0,0.013244440792496093,0.0,-0.023684317810726663
35,0.034472,599.831,633.31,-1.70095e-06,-4.44328e-34,-1.53714e-15,5.82774e-16,0.0141439,0.0141439,-0.0259136,0.0,0.0,0.0,0.021735,0.014244398206812336,0.0,0.0,0.014244398206812336,0.0,-0.025580724202717287
36,0.036892,606.609,640.518,-1.89745e-06,-4.21436e-34,-9.53117e-16,3.4726e-16,0.0151294,0.0151294,-0.0278576,0.0,0.0,0.0,0.0234679,0.015244428745356142,0.0,0.0,0.015244428745356142,0.0,-0.02747315523592364
37,0.039312,613.024,647.337,-2.06844e-06,-3.99932e-34,-5.93284e-16,2.04619e-16,0.0161139,0.0161139,-0.0298011,0.0,0.0,0.0,0.0252014,0.016244429054838472,0.0,0.0,0.016244429054838472,0.0,-0.02936142563759636
38,0.041732,619.117,653.808,-2.217e-06,-3.79712e-34,-3.70658e-16,1.17831e-16,0.0170975,0.0170975,-0.031744,0.0,0.0,0.0,0.0269352,0.017244498828943522,0.0,0.0,0.017244498828943522,0.0,-0.031245448497058237
39,0.044152,624.919,659.968,-2.34607e-06,-3.60683e-34,-2.32379e-16,6.47899e-17,0.01808,0.01808,-0.0336861,0.0,0.0,0.0,0.028669,0.01824443268611331,0.0,0.0,0.01824443268611331,0.0,-0.03312504094250801
40,0.046572,630.46,665.848,-2.45829e-06,-3.42759e-34,-1.46169e-16,3.22262e-17,0.0190616,0.0190616,-0.0356273,0.0,0.0,0.0,0.0304028,0.019244432140675505,0.0,0.0,0.019244432140675505,0.0,-0.03500011807435188
41,0.048992,635.762,671.474,-2.55599e-06,-3.25863e-34,-9.22333e-17,1.21402e-17,0.0200423,0.0200423,-0.0375675,0.0,0.0,0.0,0.0321363,0.02024449545617002,0.0,0.0,0.02024449545617002,0.0,-0.03687059570814666
42,0.051412,640.847,676.868,-2.64115e-06,-3.09923e-34,-5.83753e-17,-3.12868e-19,0.0210219,0.0210219,-0.0395067,0.0,0.0,0.0,0.0338695,0.02124441664535559,0.0,0.0,0.02124441664535559,0.0,-0.03873648649651773
