,Time,S11,S22,S33,S12,S13,S23,LE11,LE22,LE33,LE12,LE13,LE23,SDV_EPBAR,E11,E12,E13,E22,E23,E33
0,0.050004,833.425,874.78,-0.000621236,2.67722e-13,9.54298e-12,0.000114848,0.0487944,0.0487944,-0.0939246,3.90966e-21,-1.71017e-14,-1.55261e-07,0.167978,0.050004447631516014,0.0,-1.709743457922741e-14,0.050004447631516014,-1.5526098795515253e-07,-0.08964859985134355
1,0.1,940.378,987.323,-0.000327545,-4.09384e-13,7.60098e-12,8.97381e-05,0.0953134,0.0953134,-0.18654,7.07499e-22,-1.111e-14,-8.64713e-08,0.353802,0.10000354222094598,0.0,-1.1102230246251565e-14,0.10000354222094598,-8.647129623451377e-08,-0.1701746317272541
2,0.15,1004.98,1055.24,-0.000221726,3.55932e-13,5.88907e-12,6.65612e-05,0.139766,0.139766,-0.27519,4.02908e-22,-7.09181e-15,-4.14991e-08,0.531896,0.15000466627803455,0.0,-7.105427357601002e-15,0.15000466627803455,-4.149909915707184e-08,-0.24057218176903572
3,0.2,1051.71,1104.35,-0.000164626,-5.00368e-14,1.15112e-12,4.77214e-05,0.182322,0.182322,-0.360117,6.48157e-22,-4.53307e-15,-1.22874e-08,0.702602,0.20000053184737232,0.0,-4.551914400963142e-15,0.20000053184737232,-1.2287399986377068e-08,-0.30240529728405985
4,0.25,1088.38,1142.88,-0.000128218,-1.07633e-12,2.0668e-12,3.30129e-05,0.223146,0.223146,-0.441622,-2.25431e-16,-2.72975e-15,6.39239e-09,0.866477,0.25000306086098534,-2.220446049250313e-16,-2.7755575615628914e-15,0.25000306086098534,6.392389950704569e-09,-0.35700735925716076
5,0.3,1118.53,1174.55,-0.000102849,5.58524e-13,5.3972e-13,2.17512e-05,0.262367,0.262367,-0.519945,-6.28416e-22,-1.6411e-15,1.80287e-08,1.02399,0.3000035561971257,0.0,-1.6653345369377348e-15,0.3000035561971257,1.8028700088379424e-08,-0.4054467525004385
6,0.35,1144.09,1201.39,-8.41893e-05,7.77981e-13,-4.10989e-13,1.32158e-05,0.300107,0.300107,-0.595322,-1.33274e-16,-1.24302e-15,2.49751e-08,1.17559,0.350003250195956,-1.1102230246251565e-16,-1.2212453270876722e-15,0.350003250195956,2.4975100210156143e-08,-0.44861500868734194
7,0.4,1166.24,1224.66,-6.99628e-05,-3.5834e-13,-1.73702e-12,6.77821e-06,0.336474,0.336474,-0.66797,2.39667e-16,-1.19546e-15,2.88151e-08,1.32172,0.4000024687324786,2.220446049250313e-16,-1.2212453270876722e-15,0.4000024687324786,2.8815100305834562e-08,-0.487251598736806
8,0.45,1185.76,1245.17,-5.88394e-05,5.16818e-13,-7.57023e-12,1.92904e-06,0.371565,0.371565,-0.738074,6.32492e-16,-1.43247e-15,3.06108e-08,1.46275,0.4500020931744104,6.661338147750939e-16,-1.4432899320127035e-15,0.4500020931744104,3.061080056099286e-08,-0.5219662775879695
9,0.5,1203.19,1263.47,-4.99759e-05,-4.0385e-12,-1.47747e-12,-1.73063e-06,0.405467,0.405467,-0.805809,3.65445e-22,-1.31469e-15,3.10732e-08,1.59902,0.500002837840438,0.0,-1.3322676295501878e-15,0.500002837840438,3.107320045714346e-08,-0.5532736213073991
10,0.55,1218.9,1279.97,-4.28079e-05,-2.7218e-12,-7.64374e-12,-4.50469e-06,0.438257,0.438257,-0.871328,-1.94624e-16,-9.99142e-16,3.06767e-08,1.73083,0.5500032070600271,-2.220446049250313e-16,-9.992007221626409e-16,0.5500032070600271,3.067670051315474e-08,-0.5816044491451167
11,0.6,1233.19,1294.98,-3.6941e-05,-6.74393e-13,8.96653e-12,-6.6209e-06,0.470006,0.470006,-0.934768,-2.08724e-16,-4.63486e-16,2.97374e-08,1.85847,0.6000037932113194,-2.220446049250313e-16,-4.440892098500626e-16,0.6000037932113194,2.9737400542018122e-08,-0.6073230439815904
12,0.65,1246.28,1308.72,-3.20898e-05,4.82612e-13,-2.08297e-12,-8.24764e-06,0.500777,0.500777,-0.996259,8.32766e-22,-5.4048e-16,2.84655e-08,1.9822,0.650002824946811,0.0,-5.551115123125783e-16,0.650002824946811,2.8465500401253507e-08,-0.6307417443747507
