,Time,U2,RF2
0,0.0,0.0,0.0
1,0.00249866,4.63728e-06,0.265308
2,0.0144148,2.67526e-05,1.53057
3,0.0747405,0.000138711,7.93589
4,0.380139,0.000705502,40.3615
5,1.92622,0.00357488,204.481
6,9.75325,0.0181011,1034.2
7,21.6355,0.0401534,1786.54
8,32.1767,0.059717,1951.33
9,48.676,0.0903381,2109.54
10,65.1753,0.120959,2217.34
11,81.6747,0.151581,2297.56
12,98.174,0.182202,2360.2
13,114.673,0.212823,2411.13
14,131.173,0.243444,2453.35
15,147.672,0.274065,2488.85
16,164.171,0.304686,2519.17
17,180.671,0.335308,2545.16
18,197.17,0.365929,2567.42
19,213.669,0.39655,2586.37
20,228.106,0.423344,2600.48
21,238.473,0.442584,2609.28
22,249.88,0.463754,2617.77
23,261.797,0.48587,2625.32
24,272.796,0.506284,2631.14
25,283.796,0.526698,2635.89
26,294.795,0.547112,2639.56
27,305.795,0.567526,2642.16
28,314.044,0.582837,2643.39
29,322.294,0.598147,2643.99
30,330.544,0.613458,2643.96
31,338.793,0.628769,2643.26
32,342.66,0.635945,2642.7
33,347.192,0.644356,2641.86
34,351.276,0.651935,2640.93
35,356.444,0.661527,2639.5
36,362.716,0.673166,2637.38
37,367.811,0.682623,2635.33
38,370.996,0.688534,2633.9
39,373.771,0.693684,2632.57
40,377.107,0.699875,2630.84
41,379.976,0.7052,2629.24
42,383.608,0.711941,2627.07
43,385.777,0.715966,2625.69
44,390.868,0.725415,2622.21
45,392.698,0.728811,2620.87
46,395.685,0.734354,2618.59
47,398.446,0.739479,2616.36
48,401.457,0.745066,2613.8
49,405.327,0.75225,2610.29
50,409.198,0.759433,2606.54
51,413.069,0.766617,2602.54
52,415.488,0.771107,2599.9
53,417.518,0.774874,2597.6
54,419.312,0.778204,2595.5
55,420.929,0.781204,2593.56
56,422.975,0.785001,2591.03
57,424.866,0.788511,2588.62
58,428.008,0.794343,2584.43
59,431.151,0.800175,2580.04
60,434.293,0.806007,2575.41
61,434.55,0.806484,2575.03
