,Time,S11,S22,S33,S12,S13,S23,LE11,LE22,LE33,LE12,LE13,LE23,SDV_EPBAR,E11,E12,E13,E22,E23,E33
0,1e-05,1.55809,0.519362,-3.33067e-16,0.899562,-3.04394e-17,1.96331e-18,6.74997e-06,2.49999e-07,-2.99999e-06,1.12583e-05,-1.83385e-22,-1.05877e-22,0.0,6.749992781163172e-06,1.1258363374899716e-05,0.0,2.499990312543332e-07,0.0,-2.999985500018454e-06
1,2e-05,3.11616,1.03872,1.11022e-16,1.79912,-3.35356e-17,-9.59302e-18,1.34999e-05,5.00011e-07,-5.99996e-06,2.25164e-05,-1.8338e-22,-1.05874e-22,0.0,1.3499991124099608e-05,2.2516653495952e-05,0.0,5.000111249486849e-07,0.0,-5.9999420002343484e-06
2,3.5e-05,5.45324,1.81775,-5.55112e-16,3.14843,-8.98792e-17,-8.11981e-17,2.36246e-05,8.75006e-07,-1.04998e-05,3.94034e-05,-3.66722e-22,-2.11727e-22,0.0,2.3624879063044446e-05,3.9404176324087103e-05,0.0,8.750063829054966e-07,0.0,-1.0499744877323636e-05
3,5.75e-05,8.95879,2.98626,-4.10783e-15,5.17236,-7.74908e-17,-3.49706e-17,3.88114e-05,1.43749e-06,-1.72495e-05,6.47335e-05,2.65468e-21,-6.29197e-21,0.0,3.8812153172029795e-05,6.473559525832506e-05,0.0,1.4374910330960944e-06,0.0,-1.7249351228265652e-05
4,9.125e-05,14.217,4.73899,-2.94209e-14,8.20817,-3.41232e-16,-1.87242e-16,6.1591e-05,2.28117e-06,-2.73738e-05,0.000102728,-3.92632e-22,-6.09524e-21,0.0,6.159289676466173e-05,0.00010273327670162757,0.0,2.2811726019256184e-06,0.0,-2.737342534098186e-05
5,0.00014188,22.1039,7.36797,-1.5643e-13,12.7617,-3.87434e-16,-1.74842e-16,9.57588e-05,3.54668e-06,-4.25596e-05,0.000159716,-1.01239e-21,-8.40938e-21,0.0,9.576338502026438e-05,0.00015972875527947572,0.0,3.5466862895461304e-06,0.0,-4.255869435310089e-05
6,0.00021781,33.9336,11.3112,-7.95919e-13,19.5916,-6.55665e-16,-2.51555e-16,0.000147007,5.4448e-06,-6.53367e-05,0.000245194,-5.86667e-21,-3.38713e-21,0.0,0.00014701780605852477,0.00024522406250571116,0.0,5.44481482300796e-06,0.0,-6.533456560431361e-05
7,0.00033172,51.6764,17.2255,-4.03955e-12,29.8354,-6.55576e-16,-2.51503e-16,0.000223873,8.29167e-06,-9.94992e-05,0.000373398,4.29964e-21,-2.09936e-20,0.0,0.00022389806143019442,0.00037346772171087395,0.0,8.291704375995579e-06,0.0,-9.949425011879232e-05
8,0.00050258,78.2868,26.0956,-2.04531e-11,45.1989,-1.32232e-15,-1.26165e-15,0.000339155,1.25613e-05,-0.000150736,0.000565677,-4.04076e-21,-3.36359e-20,0.0,0.0003392125195595952,0.0005658370254069123,0.0,1.256137889349418e-05,0.0,-0.00015072463989995732
9,0.00075887,118.194,39.398,-1.0343e-10,68.2393,-1.59252e-15,-7.92449e-16,0.000512041,1.89646e-05,-0.000227574,0.000854034,-1.17205e-20,-6.76684e-21,0.0,0.0005121721153706904,0.00085439879087712,0.0,1.896477982921141e-05,0.0,-0.0002275481070015406
10,0.0011433,178.035,59.3451,-5.23063e-10,102.789,-2.86239e-15,-1.83821e-15,0.000771287,2.85663e-05,-0.000342794,0.00128643,-8.05347e-21,-6.72675e-20,0.0,0.0007715845183038361,0.0012872578060059148,0.0,2.8566708020649756e-05,0.0,-0.00034273525284966855
11,0.00172,267.755,89.2515,-2.6442e-09,154.588,-2.86019e-15,-1.83694e-15,0.00115997,4.29618e-05,-0.000515542,0.00193471,-2.34034e-20,-1.3512e-20,0.0,0.0011606430254049727,0.001936582758945704,0.0,4.29627228712981e-05,0.0,-0.0005154091310572984
12,0.0025849,364.812,122.348,0.293591,210.866,-0.0107073,0.00199581,0.00173652,3.75456e-05,-0.000834731,0.00293252,-1.79323e-07,1.42605e-07,0.000244377,0.0017380286239807585,0.0029368240429774595,-1.7932298390643808e-07,3.754630484475996e-05,1.4260501024487837e-07,-0.0008343827089952738
13,0.0030849,374.26,125.369,-0.12487,216.851,-0.208526,-0.122779,0.00206633,-3.24299e-06,-0.00109857,0.00353624,-3.4182e-06,-1.21668e-06,0.000687807,0.0020684663310359674,0.003542499873298688,-3.418194157944754e-06,-3.242984741524957e-06,-1.216679259896658e-06,-0.001097966792886207
14,0.0035849,383.248,129.01,0.0460179,222.173,-0.206797,-0.173072,0.00239517,-4.12558e-05,-0.00136317,0.0041395,-4.11798e-06,-1.90735e-06,0.00113732,0.0023980407111539037,0.004148079564409102,-4.117971521111485e-06,-4.125494899120952e-05,-1.9073481810627513e-06,-0.0013622413058128613
15,0.0040849,390.883,131.384,-0.200102,226.989,-0.376116,-0.23304,0.00272372,-8.34901e-05,-0.00162941,0.0047451,-7.43063e-06,-2.97167e-06,0.00159363,0.0027274326953348194,0.0047563758149067326,-7.430602392943797e-06,-8.34866147986224e-05,-2.9716655846057094e-06,-0.0016280832322399519
16,0.0048349,401.486,135.313,-0.0580824,233.484,-0.501032,-0.242536,0.00321845,-0.000142099,-0.00203497,0.00564641,-1.14538e-05,-3.11533e-06,0.00228501,0.003223634771017947,0.005662381018433971,-1.145373440547548e-05,-0.00014208890441524957,-3.1153251474069776e-06,-0.0020329008523386483
17,0.0058349,414.051,140.353,0.408453,241.051,-0.609389,-0.252259,0.0038805,-0.000215224,-0.00258595,0.00683907,-1.68777e-05,-2.72274e-06,0.00321778,0.003888038888523182,0.006862509844343112,-1.687755757240339e-05,-0.0002152008409763706,-2.7227362933146537e-06,-0.0025826093115369764
