,Time,S11,S22,S33,S12,S13,S23,LE11,LE22,LE33,LE12,LE13,LE23,SDV_EPBAR,E11,E12,E13,E22,E23,E33
0,1e-05,0.519364,0.519364,-1.66533e-16,0.519364,-2.99106e-18,2.99106e-18,1.75e-06,1.75e-06,-1.5e-06,6.49998e-06,-7.48944e-23,7.48944e-23,0.0,1.7500015312421624e-06,6.500001124898347e-06,0.0,1.7500015312421624e-06,0.0,-1.4999988749986315e-06
1,2e-05,1.03872,1.03872,-1.11022e-16,1.03872,-5.98204e-18,-1.79463e-17,3.49998e-06,3.49998e-06,-2.99999e-06,1.29999e-05,-3.74207e-22,2.24474e-22,0.0,3.499986124921861e-06,1.2999984499106887e-05,0.0,3.499986124921861e-06,0.0,-2.999985500018454e-06
2,3.5e-05,1.81776,1.81776,0.0,1.81776,-1.79459e-17,-5.38386e-17,6.12495e-06,6.12495e-06,-5.24995e-06,2.27498e-05,-2.99463e-22,-2.99463e-22,0.0,6.1249687575148926e-06,2.2750058778608917e-05,0.0,6.1249687575148926e-06,0.0,-5.2499362190872034e-06
3,5.75e-05,2.98631,2.98631,3.33067e-16,2.98631,-4.78559e-17,-3.58916e-17,1.00624e-05,1.00624e-05,-8.6249e-06,3.73744e-05,-1.79683e-21,-5.98927e-22,0.0,1.0062450626069364e-05,3.737509843149134e-05,0.0,1.0062450626069364e-05,0.0,-8.624862805617362e-06
4,9.125e-05,4.7391,4.7391,-2.33147e-15,4.7391,-2.3926e-17,-1.07676e-16,1.59684e-05,1.59684e-05,-1.36872e-05,5.93111e-05,2.75041e-25,-2.39598e-21,0.0,1.5968527495635598e-05,5.931285893812088e-05,0.0,1.5968527495635598e-05,0.0,-1.3687106330650955e-05
5,0.00014188,7.36823,7.36823,-6.77236e-15,7.36823,-1.43563e-16,-1.55528e-16,2.48273e-05,2.48273e-05,-2.12805e-05,9.22155e-05,-3.59356e-21,-1.19774e-21,0.0,2.482760819999541e-05,9.221975197992727e-05,0.0,2.482760819999541e-05,0.0,-2.1280273571733233e-05
6,0.00021781,11.3118,11.3118,-4.76286e-14,11.3118,-1.9141e-16,-2.03375e-16,3.81151e-05,3.81151e-05,-3.26701e-05,0.00014157,-2.3955e-21,-2.3955e-21,0.0,3.8115826389573115e-05,0.00014158002150543858,0.0,3.8115826389573115e-05,0.0,-3.266956633807272e-05
7,0.00033172,17.2269,17.2269,-2.50133e-13,17.2269,-9.56785e-17,-3.94784e-16,5.8046e-05,5.8046e-05,-4.97538e-05,0.000215599,6.55807e-25,-9.58289e-21,0.0,5.804768470163424e-05,0.000215622243134872,0.0,5.804768470163424e-05,0.0,-4.9752562300220404e-05
8,0.00050258,26.0989,26.0989,-1.27687e-12,26.0989,-2.39211e-16,-4.42603e-16,8.79401e-05,8.79401e-05,-7.53773e-05,0.000326635,-4.79051e-21,-1.43743e-20,0.0,8.794396684397299e-05,0.0003266883510202323,0.0,8.794396684397299e-05,0.0,-7.537445920269281e-05
9,0.00075887,39.4054,39.4054,-6.47271e-12,39.4054,-5.26264e-16,-5.38228e-16,0.000132777,0.000132777,-0.000113809,0.00049317,-7.18485e-21,-1.6769e-20,0.0,0.00013278581525599797,0.0004932916283180155,0.0,0.00013278581525599797,0.0,-0.00011380252400139401
10,0.0011433,59.3621,59.3621,-3.27557e-11,59.3621,-9.08891e-16,-9.20855e-16,0.000200021,0.000200021,-0.000171446,0.000742933,-2.39533e-20,-4.78386e-21,0.0,0.00020004100553405735,0.000743209043077453,0.0,0.00020004100553405735,0.0,-0.00017143130397445638
11,0.00172,89.2899,89.2899,-1.65602e-10,89.2899,-9.08476e-16,-1.3033e-15,0.000300862,0.000300862,-0.000257882,0.00111749,1.54771e-23,-3.83267e-20,0.0,0.00030090726351073016,0.001118114624598876,0.0,0.00030090726351073016,0.0,-0.0002578487512951977
12,0.0025849,134.165,134.165,-8.37534e-10,134.165,-2.05599e-15,-1.6851e-15,0.00045207,0.00045207,-0.000387489,0.00167912,-8.62418e-20,2.87997e-20,0.0,0.0004521721990422556,0.0016805305113494207,0.0,0.0004521721990422556,0.0,-0.00038741393583330286
13,0.0035849,186.022,186.022,-1.84631e-09,186.022,-2.05453e-15,-2.44935e-15,0.000626801,0.000626801,-0.000537258,0.00232812,-3.82872e-20,-3.82872e-20,0.0,0.0006269974807961987,0.0023308321757156136,0.0,0.0006269974807961987,0.0,-0.0005371137027634365
14,0.0045849,237.853,237.853,-2.10353e-09,237.853,-2.43517e-15,-4.36141e-15,0.000801444,0.000801444,-0.000686952,0.00297679,-1.53308e-19,1.26907e-22,0.0,0.0008017652420559962,0.002981225038986679,0.0,0.0008017652420559962,0.0,-0.000686716102494711
15,0.0055849,249.672,249.137,0.107116,249.233,0.0563312,0.0373643,0.000942737,0.000947265,-0.000929195,0.00368714,9.75083e-07,5.47015e-07,0.00039701,0.0009431815162019852,0.0036939458628419963,9.75083475296401e-07,0.0009477137971889427,5.470151496211884e-07,-0.0009287634320066518
16,0.0065849,255.646,255.111,0.265086,254.997,0.124651,0.0854872,0.00107746,0.00109107,-0.00118407,0.00440558,2.37139e-06,1.36311e-06,0.000848925,0.0010780406685562127,0.004415298834694825,2.37139281167309e-06,0.0010916654334058862,1.3631109290201948e-06,-0.0011833692657176043
17,0.0075849,260.56,259.437,-0.214751,260.305,-0.0285611,0.0286011,0.00121227,0.00123048,-0.00144128,0.00512783,5.7829e-07,6.75017e-07,0.00130723,0.0012130050962915195,0.005140999821500403,5.782901673079266e-07,0.0012312373511185193,6.750172278913169e-07,-0.0014402418547933005
18,0.0085849,265.712,264.866,0.163399,265.039,0.137726,0.092339,0.0013459,0.00137475,-0.00169773,0.00584591,3.24225e-06,1.68308e-06,0.0017679,0.0013468061298793632,0.0058630306775853125,3.2422552560529283e-06,0.0013756954019621404,1.6830814164592311e-06,-0.0016962896716350429
19,0.0095849,269.874,268.486,-0.230177,269.52,-0.0119679,0.0676004,0.00148002,0.00151359,-0.00195627,0.00656842,1.5487e-06,1.49562e-06,0.00223364,0.0014811157701206668,0.006590039379782642,1.5487011992831867e-06,0.001514736055490573,1.4956211185079837e-06,-0.0019543577510052756
20,0.010585,274.341,273.29,0.168598,273.559,0.167895,0.124644,0.00161292,0.00165743,-0.00221399,0.00728667,4.46189e-06,2.49945e-06,0.00270054,0.0016142214550833867,0.007313282379116881,4.461899954177895e-06,0.0016588042962641936,2.4994531235833506e-06,-0.002211540931877476
21,0.011585,277.912,276.323,-0.222176,277.451,0.0131256,0.10053,0.00174649,0.00179567,-0.00247359,0.00800935,2.77498e-06,2.40463e-06,0.00317159,0.0017480160019129887,0.00804151064833536,2.7749838502622026e-06,0.001797283180810183,2.4046328910287684e-06,-0.0024705331972010303
22,0.012585,281.862,280.637,0.177608,280.981,0.194962,0.153061,0.00187884,0.00193904,-0.0027322,0.00872762,5.77767e-06,3.42254e-06,0.003643,0.0018806061257887752,0.00876581671670884,5.7776866908554325e-06,0.0019409211537417814,3.422545856945902e-06,-0.002728470938533678
23,0.013585,284.984,283.226,-0.213707,284.429,0.0363095,0.127934,0.00201196,0.00207678,-0.00299253,0.00945026,4.10203e-06,3.38505e-06,0.00411793,0.0020139853496004,0.009495054703035688,4.102038413389408e-06,0.002078938001223607,3.3850557292769423e-06,-0.002988056845228626
24,0.014585,288.533,287.153,0.182154,287.569,0.217447,0.176818,0.00214388,0.00221973,-0.00325177,0.0101684,7.14515e-06,4.41523e-06,0.00459269,0.00214617975389908,0.010220273854893103,7.14517552657945e-06,0.0022221954244912023,4.4152397471464155e-06,-0.0032464887219849636
25,0.015585,291.307,289.402,-0.205311,290.669,0.0574629,0.151344,0.00227663,0.00235706,-0.00351262,0.0108908,5.50412e-06,4.43224e-06,0.00507055,0.0022792234898438846,0.010950320641876843,5.5041351476603495e-06,0.002359840049740658,4.432249822494683e-06,-0.0035064579674388696
