,Time,S11,S22,S33,S12,S13,S23,LE11,LE22,LE33,LE12,LE13,LE23,SDV_EPBAR,E11,E12,E13,E22,E23,E33
0,0.05,31.48,778.345,-0.000854313,158.876,-5.04328e-07,-8.38721e-08,-0.0136979,0.031001,-0.0157438,0.0860052,9.35871e-11,-1.485e-08,0.0654313,-0.013604510666679337,0.08981199531277007,9.358713803919727e-11,0.031486535372542424,-1.4850000007449182e-08,-0.015620514224267246
1,0.1,25.4985,885.938,-0.000176209,154.001,3.37155e-07,3.58444e-06,-0.0286689,0.0626089,-0.032185,0.166022,3.10272e-10,-1.29254e-08,0.138614,-0.028261846289294734,0.1805990746172148,3.1027203029054817e-10,0.06461038867669644,-1.2925399972552043e-08,-0.03167257506594012
2,0.15,18.9201,957.412,-0.000127732,140.356,1.47437e-07,3.19241e-06,-0.0444877,0.095405,-0.0490374,0.236245,4.0379e-10,-1.13451e-08,0.213925,-0.043512635184145165,0.26648456087703076,4.0378989041300883e-10,0.1001043071603771,-1.1345099970583306e-08,-0.04785448120981772
3,0.2,13.3201,1011.53,-9.93945e-05,124.813,-4.64253e-09,2.79862e-06,-0.0608707,0.12898,-0.0661361,0.296788,4.11312e-10,-1.00121e-08,0.290496,-0.05905510391417634,0.345530016845639,4.113120954940541e-10,0.1376673705907847,-1.0012100037926075e-08,-0.06399653444933029
4,0.25,8.92778,1054.77,-8.11694e-05,109.942,-1.19216e-07,2.42092e-06,-0.0775257,0.162872,-0.0832987,0.348417,3.56536e-10,-8.90649e-09,0.367465,-0.07459675877227512,0.41682294173888734,3.5653591190509815e-10,0.17688603863406005,-8.906489989968236e-09,-0.07992372061399522
5,0.3,5.59328,1090.38,-6.81987e-05,96.8075,-2.01841e-07,2.07962e-06,-0.0942023,0.196675,-0.100362,0.392288,2.60149e-10,-7.99993e-09,0.444079,-0.0899013693364974,0.48036399484504155,2.6014901344240116e-10,0.21734833819781962,-7.999930051738602e-09,-0.09549007382976549
6,0.35,3.07582,1120.37,-5.83904e-05,85.7391,-2.60356e-07,1.78001e-06,-0.110714,0.23008,-0.117202,0.429693,1.378e-10,-7.2624e-09,0.519761,-0.1048052619840808,0.5367856579236314,1.3779999363805473e-10,0.25870070195789974,-7.262400014695913e-09,-0.11059448489751256
7,0.4,1.15054,1146.1,-5.0681e-05,76.6921,-3.01463e-07,1.52232e-06,-0.126936,0.262876,-0.133731,0.461872,5.00743e-13,-6.66519e-09,0.59411,-0.11920995864401585,0.5870421488289417,5.007105841059456e-13,0.3006654264389168,-6.665189955512574e-09,-0.12517463902334425
8,0.45,-0.360128,1168.5,-4.44603e-05,69.4533,-3.30082e-07,1.30481e-06,-0.14279,0.294933,-0.149894,0.489907,-1.44291e-10,-6.18222e-09,0.666868,-0.13306389363677784,0.6321644216056557,-1.4429102357382817e-10,0.34303637223482464,-6.182219958184021e-09,-0.13920078369381284
9,0.5,-1.58587,1188.25,-3.93434e-05,63.7527,-3.49691e-07,1.12439e-06,-0.158234,0.326176,-0.165657,0.514691,-2.91651e-10,-5.79073e-09,0.737883,-0.1463499955056229,0.6731214273925838,-2.9165103665462766e-10,0.38565922343627834,-5.790730006616229e-09,-0.15266317911950478
