,Time,S11,S22,S33,S12,S13,S23,LE11,LE22,LE33,LE12,LE13,LE23,SDV_EPBAR,E11,E12,E13,E22,E23,E33
0,1e-05,1.4839,1.4839,-2.22045e-16,0.0,0.0,-5.55782e-39,4.99999e-06,4.99999e-06,-4.2857e-06,0.0,0.0,0.0,0.0,5.000002500032963e-06,0.0,0.0,5.000002500032963e-06,0.0,-4.285690816452359e-06
1,2e-05,2.96779,2.96779,1.11022e-15,0.0,0.0,-1.11156e-38,9.99995e-06,9.99995e-06,-8.57139e-06,0.0,0.0,0.0,0.0,9.999999999621423e-06,0.0,0.0,9.999999999621423e-06,0.0,-8.571353265707238e-06
2,3.5e-05,5.1936,5.1936,2.22045e-16,0.0,0.0,-2.08416e-38,1.74998e-05,1.74998e-05,-1.49999e-05,0.0,0.0,0.0,0.0,1.749995312239072e-05,0.0,0.0,1.749995312239072e-05,0.0,-1.4999787502079087e-05
3,5.75e-05,8.5323,8.5323,-5.10703e-15,0.0,0.0,-4.68933e-38,2.87496e-05,2.87496e-05,-2.46425e-05,0.0,0.0,0.0,0.0,2.875001327362625e-05,0.0,0.0,2.875001327362625e-05,0.0,-2.464219637610121e-05
4,9.125e-05,13.5403,13.5403,-2.64233e-14,0.0,0.0,-1.05509e-37,4.5624e-05,4.5624e-05,-3.91062e-05,0.0,0.0,0.0,0.0,4.56250407905312e-05,0.0,0.0,4.56250407905312e-05,0.0,-3.910543536256306e-05
5,0.00014188,21.0521,21.0521,-1.28564e-13,0.0,0.0,-2.37391e-37,7.0935e-05,7.0935e-05,-6.08014e-05,0.0,0.0,0.0,0.0,7.093751594666742e-05,0.0,0.0,7.093751594666742e-05,0.0,-6.079955163229567e-05
6,0.00021781,32.3194,32.3194,-6.4726e-13,0.0,0.0,-5.34115e-37,0.0001089,0.0001089,-9.33431e-05,0.0,0.0,0.0,0.0,0.00010890592982026881,0.0,0.0,0.00010890592982026881,0.0,-9.333874366834749e-05
7,0.00033172,49.2197,49.2197,-3.29226e-12,0.0,0.0,-1.20171e-36,0.000165846,0.000165846,-0.000142153,0.0,0.0,0.0,0.0,0.00016585975320815294,0.0,0.0,0.00016585975320815294,0.0,-0.00014214289674108205
8,0.00050258,74.5682,74.5682,-1.67357e-11,0.0,0.0,-2.70369e-36,0.000251258,0.000251258,-0.000215364,0.0,0.0,0.0,0.0,0.00025128956793518675,0.0,0.0,0.00025128956793518675,0.0,-0.00021534081083851575
9,0.00075887,112.587,112.587,-8.46423e-11,0.0,0.0,-6.08277e-36,0.000379362,0.000379362,-0.000325167,0.0,0.0,0.0,0.0,0.0003794339668636848,0.0,0.0,0.0003794339668636848,0.0,-0.000325114138940763
10,0.0011433,169.606,169.606,-4.28367e-10,0.0,0.0,-1.36844e-35,0.000571487,0.000571487,-0.000489846,0.0,0.0,0.0,0.0,0.0005716503298076603,0.0,0.0,0.0005716503298076603,0.0,-0.000489726045035388
11,0.00172,255.114,255.114,-2.16709e-09,0.0,0.0,-3.07838e-35,0.000859606,0.000859606,-0.000736805,0.0,0.0,0.0,0.0,0.0008599755671241383,0.0,0.0,0.0008599755671241383,0.0,-0.0007365336258500221
12,0.0025849,383.33,383.33,-1.09598e-08,0.0,0.0,-6.9243e-35,0.00129163,0.00129163,-0.00110711,0.0,0.0,0.0,0.0,0.0012924645132839085,0.0,0.0,0.0012924645132839085,0.0,-0.0011064973798241562
13,0.0035849,442.169,445.434,0.23045,0.011476,0.0458882,-0.0403594,0.00179086,0.00179086,-0.00187325,6.44945e-11,-4.57864e-07,1.03225e-06,0.000534328,0.0017924645474667322,6.449440981270982e-11,-4.578638951313607e-07,0.0017924645474667322,1.0322505328286269e-06,-0.0018714965622653734
14,0.0045849,457.079,464.277,0.311397,0.00546965,0.04816,-0.0306551,0.00228984,0.00228984,-0.00280659,4.15488e-11,-4.31486e-07,9.81495e-07,0.0013325,0.0022924636858374647,4.1548764428966933e-11,-4.314859068932364e-07,0.0022924636858374647,9.814954815556831e-07,-0.0028026552082625056
15,0.0055849,469.994,480.452,0.477033,0.00310178,0.054795,-0.00404551,0.00278857,0.00278857,-0.00374822,3.26473e-11,-3.41969e-07,1.24812e-06,0.00214466,0.002792461677887159,3.264721826212735e-11,-3.4196894149740586e-07,0.002792461677887159,1.2481207789516446e-06,-0.0037412041917506134
16,0.0065849,481.195,494.364,0.424308,0.000665932,0.0517357,-0.00970692,0.00328706,0.00328706,-0.00469744,2.69139e-11,-3.90138e-07,1.10163e-06,0.00296792,0.0032924683059070148,2.691380451835812e-11,-3.901379238557823e-07,0.0032924683059070148,1.1016306067368475e-06,-0.00468642428402799
17,0.0075849,490.33,505.85,-0.541562,-0.0161642,0.0157216,-0.154083,0.00378529,0.00378529,-0.0056572,-7.12359e-11,-1.07308e-06,-1.25367e-06,0.00380223,0.003792463258290635,-7.12359060628387e-11,-1.0730794242075348e-06,0.003792463258290635,-1.2536692141074113e-06,-0.005641228176872848
18,0.0085849,500.54,517.942,0.50799,-0.013494,0.0565421,0.00536097,0.00428328,0.00428328,-0.0066087,1.8954e-11,-5.66724e-07,7.28562e-07,0.00463609,0.0042924663550065745,1.8953949521005597e-11,-5.667238394124752e-07,0.0042924663550065745,7.285622654062962e-07,-0.0065869105685166796
19,0.0095849,509.012,528.015,0.522128,-0.0111673,0.0571412,0.00793346,0.00478102,0.00478102,-0.00756893,1.73625e-11,-5.66537e-07,7.56969e-07,0.00547825,0.00479246731212557,1.7362555837507898e-11,-5.665368395524339e-07,0.00479246731212557,7.569692865860844e-07,-0.007540357781812834
20,0.010585,515.932,536.396,-0.381512,-0.0228297,0.0243801,-0.132022,0.00527851,0.00527851,-0.00853728,-6.14137e-11,-1.21975e-06,-1.39123e-06,0.00632759,0.005292465878519614,-6.141365194167747e-11,-1.219749256153868e-06,0.005292465878519614,-1.3912290321993481e-06,-0.008500940910956545
21,0.011585,524.177,545.789,0.56528,-0.0181026,0.0608115,0.0147913,0.00577575,0.00577575,-0.00949644,-1.19113e-11,-7.63023e-07,4.69115e-07,0.00717409,0.005792461802937909,-1.1911249764295917e-11,-7.630227089050479e-07,0.005792461802937909,4.691151100910673e-07,-0.009451491210685115
22,0.012585,530.928,553.643,0.492814,-0.0177265,0.0636895,-0.0076016,0.00627275,0.00627275,-0.0104634,5.27641e-12,-8.77105e-07,2.01359e-07,0.00802691,0.006292464896930694,5.276445946833519e-12,-8.771046153821516e-07,0.006292464896930694,2.013590203464588e-07,-0.010408849058776592
23,0.013585,536.614,560.281,-0.277641,-0.0259143,0.0247804,-0.105068,0.0067695,0.0067695,-0.0114357,-5.74983e-11,-1.61664e-06,-1.29499e-06,0.00888436,0.00679246485607643,-5.7498339423034395e-11,-1.616638693247019e-06,0.00679246485607643,-1.2949891614599807e-06,-0.011370560922849826
24,0.014585,543.547,568.046,0.583386,-0.0228617,0.0704692,0.00439995,0.007266,0.007266,-0.0123996,4.06388e-12,-1.17998e-06,1.35458e-07,0.00973846,0.007292461428755503,4.063860359337923e-12,-1.1799793038225204e-06,0.007292461428755503,1.3545800925385265e-07,-0.012323041717311245
25,0.015585,548.096,573.319,-0.689251,-0.034838,0.0101836,-0.168456,0.00776226,0.00776226,-0.0133767,-1.30571e-10,-2.22544e-06,-2.48053e-06,0.0106013,0.007792464441150004,-1.3057099845781295e-10,-2.2254375237062973e-06,0.007792464441150004,-2.480526923531734e-06,-0.013287629547122037
26,0.016585,553.773,579.634,-0.526253,-0.0425343,0.0193796,-0.146205,0.00825827,0.00825827,-0.0143464,-1.3535e-10,-2.37298e-06,-2.57864e-06,0.0114608,0.008292463573471132,-1.3534995346731193e-10,-2.3729771845282244e-06,0.008292463573471132,-2.5786366752988954e-06,-0.014243980770919817
27,0.017585,559.794,586.23,0.243746,-0.0398709,0.0552208,-0.0361995,0.00875404,0.00875403,-0.015313,5.20521e-11,-2.09807e-06,-1.25148e-06,0.0123197,0.008792468661657171,5.205214037573569e-11,-2.098067799050085e-06,0.008792458573732453,-1.251479216923812e-06,-0.015196352183851514
28,0.018585,564.091,591.043,-0.51633,-0.0458147,0.0143887,-0.13009,0.00924955,0.00924955,-0.016289,-1.55235e-10,-2.8854e-06,-2.74796e-06,0.0131847,0.009292459282749688,-1.5523504703907065e-10,-2.8853958372598854e-06,0.009292459282749688,-2.7479562243470923e-06,-0.016157051646520704
29,0.019585,569.014,596.429,-0.428354,-0.0495764,0.0197877,-0.118185,0.00974483,0.00974483,-0.0172605,1.62227e-10,-3.07647e-06,-2.8805e-06,0.0140479,0.009792465463292821,1.622268985812525e-10,-3.076465267648487e-06,0.009792465463292821,-2.880495851398379e-06,-0.017112390939646116
30,0.020585,574.329,602.167,0.253362,-0.0453092,0.0580001,-0.0329696,0.0102399,0.0102399,-0.0182289,-8.97066e-11,-2.76279e-06,-1.84873e-06,0.0149099,0.010292507186784539,-8.970657550122496e-11,-2.7627861834966794e-06,0.010292507186784539,-1.8487282911205938e-06,-0.01806375857370246
31,0.021585,578.117,606.341,-0.444196,-0.0491565,0.019732,-0.118997,0.0107346,0.0107346,-0.0192054,-1.87306e-10,-3.4999e-06,-3.20463e-06,0.0157773,0.010792422533955737,-1.8730594852911508e-10,-3.499893875380522e-06,0.010792422533955737,-3.2046248651385056e-06,-0.019022151302049095
32,0.022585,583.553,612.135,0.701615,-0.0401285,0.0844139,0.0234103,0.0112292,0.0112292,-0.0201715,-5.75776e-11,-2.78933e-06,-1.29635e-06,0.0166392,0.011292484121177448,-5.757760934699263e-11,-2.7893261098643762e-06,0.011292484121177448,-1.2963491596851284e-06,-0.019969416351616642
33,0.023585,587.47,616.383,0.45326,-0.0353282,0.0707698,-0.00812397,0.0117235,0.0117235,-0.0211456,-7.78565e-11,-3.0941e-06,-1.65416e-06,0.0175063,0.011792489562242547,-7.785649902558589e-11,-3.0940952132629818e-06,0.011792489562242547,-1.65415863184748e-06,-0.020923599332877796
34,0.024585,591.014,620.232,-0.0331629,-0.0364027,0.0437024,-0.0678682,0.0122175,0.0122175,-0.0221213,-1.33752e-10,-3.62891e-06,-2.53127e-06,0.0183746,0.012292438529314165,-1.3375200946796895e-10,-3.6289034155423394e-06,0.012292438529314165,-2.5312667963905966e-06,-0.02187841829283088
35,0.025585,595.301,624.803,0.366204,-0.0330582,0.0668584,-0.0183906,0.0127113,0.0127113,-0.0230919,-9.23844e-11,-3.47722e-06,-1.90248e-06,0.0192404,0.012792431973681628,-9.238443343662084e-11,-3.477213954439229e-06,0.012792431973681628,-1.902478190318746e-06,-0.022827322522319227
36,0.026585,598.394,628.161,-0.323958,-0.0374254,0.0278206,-0.103209,0.0132049,0.0132049,-0.0240689,-1.79467e-10,-4.19543e-06,-3.18891e-06,0.0201102,0.013292469717266275,-1.7946699681914424e-10,-4.195421199226779e-06,0.013292469717266275,-3.1889049154631977e-06,-0.023781554010229633
37,0.027585,602.999,633.019,0.637693,-0.0310208,0.0834904,0.0155031,0.0136982,0.0136982,-0.0250362,-7.42531e-11,-3.59434e-06,-1.60038e-06,0.0209747,0.01379245020262565,-7.425304815456002e-11,-3.5943335403576526e-06,0.01379245020262565,-1.6003787194351915e-06,-0.024725393551447872
38,0.028585,606.328,636.587,0.412672,-0.0280494,0.0707338,-0.0127009,0.0141913,0.0141913,-0.0260103,-9.30957e-11,-3.88105e-06,-1.92865e-06,0.0218435,0.014292474530686938,-9.309575332849818e-11,-3.881042468734108e-06,0.014292474530686938,-1.928648140192557e-06,-0.025674945990990183
39,0.029585,609.366,639.849,-0.00730285,-0.0298406,0.0468426,-0.0640559,0.0146841,0.0146841,-0.0269855,-1.40518e-10,-4.36008e-06,-2.68587e-06,0.0227131,0.014792441043766313,-1.4051804164694204e-10,-4.360070494868751e-06,0.014792441043766313,-2.6858663930706683e-06,-0.02662464463533598
40,0.030585,613.05,643.747,0.323961,-0.0278829,0.0664613,-0.0232168,0.0151767,0.0151767,-0.0279562,9.5375e-11,-4.24635e-06,-2.17773e-06,0.0235804,0.015292450942551827,9.537504119805362e-11,-4.246340984281893e-06,0.015292450942551827,-2.1777276287826552e-06,-0.027569041655539195
41,0.031585,615.754,646.655,-0.247259,-0.0320421,0.0334811,-0.0930789,0.0156691,0.0156691,-0.0289321,-1.76936e-10,-4.86608e-06,-3.2435e-06,0.0244509,0.015792504048367073,-1.7693602138990627e-10,-4.866068160636061e-06,0.015792504048367073,-3.24349473990182e-06,-0.028517574116093125
42,0.032585,619.708,650.804,0.533248,-0.0275183,0.0795484,0.00284507,0.0161612,0.0161612,-0.0298999,-9.41272e-11,-4.38794e-06,-1.97615e-06,0.0253168,0.016292498553167167,-9.412715051837495e-11,-4.387930373050963e-06,0.016292498553167167,-1.9761480474222992e-06,-0.029457319991484376
43,0.033585,621.706,652.988,-0.585906,-0.0350536,0.014158,-0.133907,0.016653,0.016653,-0.0308786,-2.2878e-10,-5.45455e-06,-3.98723e-06,0.0261893,0.016792434128036993,-2.2877999494852475e-10,-5.454535124016502e-06,0.016792434128036993,-3.987222050971795e-06,-0.030406725445067395
44,0.034585,624.795,656.253,-0.525878,-0.040597,0.0179808,-0.125981,0.0171447,0.0171447,-0.0318504,-2.39561e-10,-5.63993e-06,-4.16222e-06,0.0270578,0.017292513902434914,-2.3956103767375225e-10,-5.639914095634246e-06,0.017292513902434914,-4.162211337921384e-06,-0.031348518497916755
45,0.035585,628.616,660.249,0.351009,-0.0363798,0.0701883,-0.0184784,0.017636,0.017636,-0.0328172,-1.41879e-10,-5.10101e-06,-2.80661e-06,0.0279236,0.017792432509465383,-1.4187895303052755e-10,-5.100996989915174e-06,0.017792432509465383,-2.806606061445116e-06,-0.03228455819573317
46,0.036585,630.633,662.432,-0.529744,-0.0416467,0.0183092,-0.125707,0.0181272,0.0181272,-0.0337939,-2.54806e-10,-5.98282e-06,-4.42259e-06,0.0287953,0.018292494957596883,-2.5480595411409013e-10,-5.982802102955098e-06,0.018292494957596883,-4.4225802203756714e-06,-0.033229264445346796
47,0.037585,633.546,665.506,-0.437495,-0.0450265,0.0240624,-0.113967,0.0186181,0.0186181,-0.0347648,-2.59044e-10,-6.12519e-06,-4.51529e-06,0.0296638,0.0187924974589444,-2.5904400846599174e-10,-6.125171241100347e-06,0.0187924974589444,-4.515279806049932e-06,-0.03416744663825333
48,0.038585,637.023,669.141,0.288051,-0.0406054,0.0676626,-0.025118,0.0191087,0.0191087,-0.0357318,-1.77135e-10,-5.69589e-06,-3.41094e-06,0.03053,0.019292439683998186,-1.771349733559191e-10,-5.695873778410743e-06,0.019292439683998186,-3.410934182768166e-06,-0.035100955293176694
49,0.039585,639.03,671.301,-0.412016,-0.043816,0.0261212,-0.110189,0.0195991,0.0195991,-0.0367068,-2.6853e-10,-6.4255e-06,-4.7062e-06,0.031401,0.01979242328237718,-2.68529976032994e-10,-6.4254793564755275e-06,0.01979242328237718,-4.7061889258959155e-06,-0.03604127338220664
50,0.040585,642.753,675.174,0.680412,-0.0356678,0.091909,0.0233273,0.0200893,0.0200893,-0.0376711,-1.43058e-10,-5.66286e-06,-2.91834e-06,0.0322658,0.020292448074334057,-1.4305800988267947e-10,-5.662843966081077e-06,0.020292448074334057,-2.918335741619593e-06,-0.03697037074599496
51,0.041585,645.076,677.644,0.412848,-0.0314936,0.0758993,-0.00977205,0.0205793,0.0205793,-0.0386429,-1.66279e-10,-5.9618e-06,-3.30349e-06,0.0331352,0.020792513880007357,-1.662789905765294e-10,-5.9617822285584765e-06,0.020792513880007357,-3.303484543470958e-06,-0.037905788346674796
52,0.042585,647.235,679.945,0.0314075,-0.0316993,0.0532443,-0.056016,0.0210689,0.0210689,-0.0396152,-2.09149e-10,-6.3913e-06,-3.97166e-06,0.0340048,0.021292416260919822,-2.0914903142710273e-10,-6.391279575690412e-06,0.021292416260919822,-3.97165211296624e-06,-0.038840777929820436
53,0.043585,649.974,682.821,0.28595,-0.0293395,0.0688516,-0.0248855,0.0215584,0.0215584,-0.0405836,-1.82163e-10,-6.30514e-06,-3.5907e-06,0.0348722,0.021792461274712016,-1.821629513898415e-10,-6.305120122673813e-06,0.021792461274712016,-3.5906935534901763e-06,-0.03977111397905253
54,0.044585,651.967,684.948,-0.164983,-0.0317393,0.0418171,-0.0796288,0.0220476,0.0220476,-0.0415557,2.40422e-10,-6.81121e-06,-4.42502e-06,0.0357418,0.02229244443267686,2.404219046070466e-10,-6.811186803790115e-06,0.02229244443267686,-4.425010209585523e-06,-0.04070409892834792
55,0.045585,654.941,688.053,0.420993,-0.0280051,0.0775889,-0.00813343,0.0225366,0.0225366,-0.0425215,-1.7333e-10,-6.45071e-06,-3.49622e-06,0.0366078,0.02279246768372567,-1.7333001700592376e-10,-6.450689194248405e-06,0.02279246768372567,-3.496213888176669e-06,-0.041630139652555354
56,0.046585,656.481,689.72,-0.396674,-0.0327937,0.0281696,-0.107374,0.0230253,0.0230253,-0.0434952,2.68806e-10,-7.26438e-06,-4.95789e-06,0.0374784,0.023292428518162156,2.688060884992183e-10,-7.2643536144223475e-06,0.023292428518162156,-4.9578777097103455e-06,-0.042562850221743775
57,0.047585,659.896,693.261,0.721868,-0.0259383,0.0965237,0.0288933,0.0235138,0.0235138,-0.0444572,-1.48347e-10,-6.45252e-06,-3.12538e-06,0.0383422,0.02379242898466427,-1.4834700134969125e-10,-6.452499182518778e-06,0.02379242898466427,-3.1253751160420506e-06,-0.043483461874627594
58,0.048585,661.854,695.343,0.41107,-0.0231939,0.0775797,-0.00937866,0.0240021,0.0240021,-0.0454273,-1.74567e-10,-6.77704e-06,-3.5768e-06,0.0392107,0.02429246890254766,-1.7456702749996111e-10,-6.777017035886068e-06,0.02429246890254766,-3.576793603299322e-06,-0.04441092862777829
59,0.049585,663.73,697.339,0.0569134,-0.0242553,0.0562178,-0.0521856,0.0244901,0.0244901,-0.0463972,-2.1215e-10,-7.17526e-06,-4.19183e-06,0.0400792,0.024792445611766967,-2.1214996426266453e-10,-7.175234257861263e-06,0.024792445611766967,-4.191821214249991e-06,-0.045337305149187435
60,0.050585,666.118,699.844,0.257251,-0.0231872,0.0686876,-0.0277367,0.0249779,0.0249779,-0.0473637,-1.92084e-10,-7.12088e-06,-3.90279e-06,0.0409455,0.025292461310650438,-1.9208401536019437e-10,-7.120854646602837e-06,0.025292461310650438,-3.902782384157533e-06,-0.04625954090154338
61,0.051585,667.9,701.741,-0.117476,-0.0258582,0.045914,-0.0730975,0.0254654,0.0254654,-0.0483331,-2.35558e-10,-7.55579e-06,-4.60147e-06,0.0418137,0.025792413238920453,-2.355580175361638e-10,-7.5557614550580965e-06,0.025792413238920453,-4.601459413278164e-06,-0.0471836489150711
62,0.052585,670.485,704.439,0.354186,-0.0235617,0.0751014,-0.0156802,0.0259528,0.0259528,-0.0492973,-1.87071e-10,-7.27579e-06,-3.86958e-06,0.0426787,0.026292506323917886,-1.870710253371044e-10,-7.275763531544577e-06,0.026292506323917886,-3.869572513193198e-06,-0.04810191167516953
63,0.053585,671.924,705.987,-0.297246,-0.0278236,0.0352255,-0.0945386,0.0264398,0.0264398,-0.0502677,-2.61074e-10,-7.94552e-06,-5.04092e-06,0.0435474,0.026792432496640206,-2.6107405126651884e-10,-7.945488434413228e-06,0.026792432496640206,-5.040907294584507e-06,-0.049025185535151006
64,0.054585,674.843,709.016,0.578902,-0.0230416,0.0894541,0.0119515,0.0269267,0.0269267,-0.0512289,-1.69814e-10,-7.31926e-06,-3.62657e-06,0.0444106,0.027292499463446473,-1.6981405170923836e-10,-7.319233214286847e-06,0.027292499463446473,-3.6265634240084665e-06,-0.04993882336213207
65,0.055585,675.692,709.97,-0.602529,-0.030216,0.0167459,-0.13105,0.0274133,0.0274133,-0.0522017,-3.01607e-10,-8.43767e-06,-5.69173e-06,0.0452806,0.027792501634347655,-3.0160696162795375e-10,-8.43763440294687e-06,0.027792501634347655,-5.691713802158382e-06,-0.05086259348013
66,0.056585,677.796,712.177,-0.486576,-0.0350851,0.0240579,-0.116682,0.0278996,0.0278996,-0.0531666,-3.02373e-10,-8.53237e-06,-5.7457e-06,0.046146,0.028292438677732124,-3.023730155149451e-10,-8.532333599431396e-06,0.028292438677732124,-5.745683493540987e-06,-0.05177797446710308
67,0.057585,680.53,715.014,0.294404,-0.0318079,0.0726691,-0.0218644,0.0283857,0.0283857,-0.0541273,-2.21293e-10,-8.00789e-06,-4.56038e-06,0.0470088,0.028792413141121687,-2.2129298393736008e-10,-8.007857936975782e-06,0.028792413141121687,-4.560369601502856e-06,-0.05268849392897912
68,0.058585,681.759,716.344,-0.411875,-0.0356753,0.0290816,-0.107126,0.0288716,0.0288716,-0.0550962,-3.03684e-10,-8.73095e-06,-5.84121e-06,0.0478765,0.02929242484267225,-3.036839668624225e-10,-8.730911885357351e-06,0.02929242484267225,-5.841192940114759e-06,-0.053605899538294643
69,0.059585,684.721,719.406,0.655993,-0.0288734,0.0956348,0.0224537,0.0293573,0.0293573,-0.0560544,-1.91033e-10,-7.93278e-06,-4.11368e-06,0.0487378,0.029792473600428693,-1.9103296722278174e-10,-7.932748535610656e-06,0.029792473600428693,-4.113671538852337e-06,-0.05451230003952623
70,0.060585,685.227,720.01,-0.72311,-0.03605,0.0100772,-0.144237,0.0298427,0.0298427,-0.0570266,-3.45273e-10,-9.22043e-06,-6.5059e-06,0.0496073,0.030292456203075302,-3.452730323871833e-10,-9.220387491959414e-06,0.030292456203075302,-6.505878836660095e-06,-0.05543105650154623
71,0.061585,687.249,722.126,-0.550135,-0.0404095,0.0209581,-0.123006,0.0303279,0.0303279,-0.0579894,-3.40421e-10,-9.27034e-06,-6.48628e-06,0.0504712,0.030792475397672048,-3.40421024702664e-10,-9.270297030572472e-06,0.030792475397672048,-6.486258964155667e-06,-0.056340049820744253
72,0.062585,689.911,724.884,0.295246,-0.0362019,0.0739194,-0.0205688,0.0308128,0.0308128,-0.0589478,-2.51667e-10,-8.6839e-06,-5.20268e-06,0.0513325,0.031292427872673834,-2.516670205565674e-10,-8.683862295022493e-06,0.031292427872673834,-5.20266646608647e-06,-0.057244020265165396
73,0.063585,690.983,726.049,-0.437123,-0.0394409,0.0283811,-0.108867,0.0312975,0.0312975,-0.0599151,-3.37163e-10,-9.42744e-06,-6.52426e-06,0.0521989,0.03179241647491282,-3.37162964214599e-10,-9.427395561867336e-06,0.03179241647491282,-6.524238717053876e-06,-0.05815550721262985
74,0.064585,693.859,729.02,0.673788,-0.0318301,0.0980739,0.0257573,0.031782,0.031782,-0.0608712,-2.18905e-10,-8.58088e-06,-4.72732e-06,0.0530588,0.03229244102186013,-2.1890500523369383e-10,-8.58084318433594e-06,0.03229244102186013,-4.72730882628003e-06,-0.05905557438650677
75,0.065585,695.299,730.553,0.361555,-0.0282806,0.0784816,-0.0124088,0.0322663,0.0322663,-0.0618351,-2.45338e-10,-8.89637e-06,-5.19014e-06,0.0539233,0.032792501330876966,-2.453379721600868e-10,-8.896330427443644e-06,0.032792501330876966,-5.190126531218198e-06,-0.05996211374152438
76,0.066585,696.751,732.095,0.082979,-0.0278123,0.0612289,-0.0458756,0.0327503,0.0327503,-0.0627986,-2.73591e-10,-9.21566e-06,-5.67324e-06,0.0547873,0.033292493889959696,-2.7359103871305024e-10,-9.215617535973664e-06,0.033292493889959696,-5.673223907209923e-06,-0.06086740405129354
77,0.067585,698.575,734.008,0.20146,-0.0262933,0.0688169,-0.0314485,0.033234,0.033234,-0.0637593,-2.62012e-10,-9.20629e-06,-5.52088e-06,0.0556498,0.033792418366241916,-2.6201196767772217e-10,-9.206247622239871e-06,0.033792418366241916,-5.520864760022448e-06,-0.06176919549134452
78,0.068585,700.016,735.536,-0.0440059,-0.0272477,0.0535359,-0.0610003,0.0337176,0.0337176,-0.0647218,-2.89488e-10,-9.51413e-06,-5.99045e-06,0.0565131,0.03429248128523188,-2.8948798913575047e-10,-9.514084740813722e-06,0.03429248128523188,-5.990432057290107e-06,-0.06267180818864138
79,0.069585,701.968,737.574,0.246104,-0.0253616,0.0719493,-0.0258022,0.0342009,0.0342009,-0.0656808,-2.60729e-10,-9.36063e-06,-5.56416e-06,0.0573744,0.03479247565534416,-2.6072899395046534e-10,-9.36058618938862e-06,0.03479247565534416,-5.564144520131542e-06,-0.06357027504087431
80,0.070585,703.222,738.914,-0.145739,-0.0273417,0.0474096,-0.0730026,0.034684,0.034684,-0.0666433,-3.03715e-10,-9.79538e-06,-6.28349e-06,0.0582377,0.03529250467261735,-3.03715053107112e-10,-9.795332025386294e-06,0.03529250467261735,-6.283470258883206e-06,-0.06447115503310274
81,0.071585,705.351,741.127,0.362962,-0.0243331,0.0796582,-0.011398,0.0351668,0.0351668,-0.0676003,-2.52544e-10,-9.45099e-06,-5.49216e-06,0.0590976,0.03579246457448204,-2.5254398572371883e-10,-9.45094533955082e-06,0.03579246457448204,-5.492144918073372e-06,-0.0653660278727849
82,0.072585,706.294,742.152,-0.302769,-0.0278539,0.0377668,-0.0916367,0.0356494,0.0356494,-0.0685636,-3.23904e-10,-1.01215e-05,-6.66999e-06,0.0599612,0.03629245865675368,-3.239040147207106e-10,-1.0121448777766773e-05,0.03629245865675368,-6.6699677556680825e-06,-0.0662659272720012
83,0.073585,708.742,744.682,0.565466,-0.0228895,0.0928321,0.0133939,0.0361318,0.0361318,-0.0695177,-2.36277e-10,-9.46265e-06,-5.27602e-06,0.0608193,0.03679248673588553,-2.3627699796691104e-10,-9.462605229271226e-06,0.03679248673588553,-5.276006081800233e-06,-0.06715637809367792
84,0.074585,709.187,745.207,-0.564019,-0.0289555,0.0215101,-0.122745,0.0366139,0.0366139,-0.0704829,2.77841e-10,-1.0534e-05,-7.22864e-06,0.0616839,0.037292444898972876,2.778410834736178e-10,-1.0533944517665539e-05,0.037292444898972876,-7.2286138734778405e-06,-0.06805632437360054
85,0.075585,710.873,746.971,-0.426489,-0.0327989,0.0303122,-0.105942,0.0370958,0.0370958,-0.0714405,-3.51744e-10,-1.05771e-05,-7.21879e-06,0.0625439,0.037792436591491896,-3.5174396728621105e-10,-1.057704406270954e-05,0.037792436591491896,-7.2187639446053e-06,-0.06894832647860882
86,0.076585,713.072,749.249,0.245216,-0.0299646,0.0731137,-0.0247219,0.0375775,0.0375775,-0.0723945,-2.85508e-10,-1.01086e-05,-6.21214e-06,0.0634017,0.038292461629559904,-2.8550795061477174e-10,-1.010854890826085e-05,0.038292461629559904,-6.212120704729429e-06,-0.0698361262273347
87,0.077585,714.026,750.28,-0.319263,-0.0326495,0.0374318,-0.0925862,0.0380589,0.0380589,-0.0733553,-3.47368e-10,-1.06972e-05,-7.2359e-06,0.0642634,0.038792415949937986,-3.47368023234651e-10,-1.0697142785121017e-05,0.038792415949937986,-7.235873820898853e-06,-0.07072939848054738
88,0.078585,716.358,752.69,0.520324,-0.0273192,0.0909593,0.0088829,0.0385402,0.0385402,-0.0743076,-2.62837e-10,-1.00578e-05,-5.89802e-06,0.06512,0.03929250707701071,-2.628369744073211e-10,-1.005774942053339e-05,0.03929250707701071,-5.898002606752328e-06,-0.07161392164182512
