,Time,U2,RF2,Time,U2_ext,Strain_eng,Strain_ext
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.001497,4.1516e-07,5.27664e-05,0.001497,7.55261e-09,3.021044e-08,1.5105219735561488e-08
2,0.00430387,1.193586e-06,0.0001517032,0.00430387,2.17138e-08,8.68552e-08,4.342759807460967e-08
3,0.0106193,2.94504e-06,0.0003743112,0.0106193,5.35763e-08,2.143052e-07,1.0715258853346988e-07
4,0.0248291,6.88582e-06,0.0008751799999999999,0.0248291,1.25267e-07,5.01068e-07,2.5053393722304585e-07
5,0.0568012,1.575256e-05,0.0020021320000000002,0.0568012,2.86571e-07,1.146284e-06,5.731416714795486e-07
6,0.128738,3.57028e-05,0.004537759999999999,0.128738,6.49506e-07,2.598024e-06,1.2990103125374838e-06
7,0.290597,8.05906e-05,0.01024296,0.290597,1.46611e-06,5.86444e-06,2.9322114021487256e-06
8,0.654779,0.0001815884,0.02307952,0.654779,3.30347e-06,1.321388e-05,6.60689634871522e-06
9,1.47419,0.000408834,0.0519616,1.47419,7.43756e-06,2.975024e-05,1.4874898735173133e-05
10,3.31786,0.000920134,0.1169444,3.31786,1.67393e-05,6.69572e-05,3.347747923339603e-05
11,7.46612,0.00207056,0.2631472,7.46612,3.76689e-05,0.0001506756,7.533212478598085e-05
12,16.7997,0.0281428,3.573436,16.7997,0.000512184,0.002048736,0.0010233201012018703
13,31.7697,0.0700364,8.16376,31.7697,0.00170005,0.0068002,0.0033885914640947963
14,46.7397,0.1119298,9.167440000000001,46.7397,0.00388898,0.01555592,0.007718083495959617
15,61.7097,0.1538232,9.73884,61.7097,0.00575423,0.02301692,0.011378013211077424
16,76.6797,0.1957166,10.15276,76.6797,0.00757191,0.03028764,0.014919012695527313
17,91.6497,0.23761,10.479479999999999,91.6497,0.00937141,0.03748564,0.01840006603153698
18,106.62,0.279504,10.750200000000001,106.62,0.0111722,0.0446888,0.021859521011385927
19,121.59,0.321396,10.981440000000001,121.59,0.0129848,0.0519392,0.02531765898426771
20,136.56,0.36329,11.18328,136.56,0.0148198,0.0592792,0.0287943384095558
21,151.53,0.405184,11.36212,151.53,0.016683,0.066732,0.032299884630933265
22,166.5,0.447078,11.52224,166.5,0.018577,0.074308,0.03583836668605917
23,181.47,0.48897,11.66672,181.47,0.0205039,0.0820156,0.03941279903263599
24,196.44,0.530864,11.79796,196.44,0.0224663,0.0898652,0.043027009434275364
25,211.41,0.572758,11.9178,211.41,0.0244671,0.0978684,0.046685240811865356
26,226.38,0.61465,12.027719999999999,226.38,0.0265073,0.1060292,0.050388152099142824
27,241.35,0.656544,12.1288,241.35,0.0285891,0.1143564,0.05413850926284856
28,256.32,0.698438,12.222040000000002,256.32,0.0307145,0.122858,0.05793861037214453
29,271.29,0.74033,12.30824,271.29,0.0328854,0.1315416,0.061790475385674205
30,286.26,0.782224,12.388,286.26,0.035104,0.140416,0.06569655406140627
31,301.23,0.824118,12.46192,301.23,0.0373723,0.1494892,0.06965883489383132
32,316.2,0.866012,12.530479999999999,316.2,0.039693,0.158772,0.07368041184698197
33,331.17,0.907904,12.59408,331.17,0.0420685,0.168274,0.07776372296771233
34,346.14,0.949798,12.653120000000001,346.14,0.0445015,0.178006,0.08191158929751573
35,361.11,0.991692,12.707840000000001,361.11,0.0469949,0.1879796,0.08612702453792294
36,376.08,1.033584,12.75856,376.08,0.049552,0.198208,0.09041355366354384
37,391.05,1.075478,12.80552,391.05,0.0521762,0.2087048,0.09477468654206284
38,406.02,1.117372,12.84892,406.02,0.0548711,0.2194844,0.09921407323204835
39,420.99,1.159266,12.888959999999999,420.99,0.0576409,0.2305636,0.10373613790983095
40,435.96,1.201158,12.925799999999999,435.96,0.0604898,0.2419592,0.10834506636508004
41,450.93,1.243052,12.9596,450.93,0.0634226,0.2536904,0.11304576088811714
42,465.9,1.284946,12.990440000000001,465.9,0.0664444,0.2657776,0.11784331844197628
43,480.87,1.326838,13.01848,480.87,0.0695609,0.2782436,0.12274347406007045
44,495.84,1.368732,13.0438,495.84,0.0727784,0.2911136,0.1277525508982656
45,510.81,1.410626,13.06652,510.81,0.0761036,0.3044144,0.1328771022152546
46,525.78,1.45252,13.08664,525.78,0.0795441,0.3181764,0.13812463313744155
47,540.75,1.494412,13.10432,540.75,0.0831084,0.3324336,0.14350352233589223
48,555.72,1.536306,13.11956,555.72,0.0868057,0.3472228,0.14902264417660743
49,570.69,1.5782,13.1324,570.69,0.0906465,0.362586,0.15469218241469007
50,585.66,1.620092,13.14288,585.66,0.0946425,0.37857,0.16052336501280717
51,600.63,1.661986,13.15104,600.63,0.0988068,0.3952272,0.1665286346976945
52,615.6,1.70388,13.15688,615.6,0.103154,0.412616,0.1727216522801409
53,630.57,1.745774,13.16052,630.57,0.10769,0.43076,0.17910288581195194
54,645.54,1.787666,13.16164,645.54,0.112443,0.449772,0.18570315134472548
55,660.51,1.82956,13.160680000000001,660.51,0.11741,0.46964,0.19250873641952965
56,675.48,1.871454,13.15728,675.48,0.122602,0.490408,0.19952495398868136
57,690.45,1.913346,13.151639999999999,690.45,0.128036,0.512144,0.20676425565886
58,705.42,1.95524,13.14368,705.42,0.13373,0.53492,0.21423913120858254
59,720.39,1.997134,13.133479999999999,720.39,0.139703,0.558812,0.2219619963410966
60,735.36,2.03902,13.120959999999998,735.36,0.145979,0.583916,0.22995013084152374
61,748.5,2.0758,13.10792,748.5,0.151767,0.607068,0.23720570036627983
